Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.419,87,97,95,95,93,89,96,95,95,94,93.6,3.006659275674582
query_002,0.953,79,74,74,81,75,78,78,79,78,72,76.8,2.7129319932501077
query_003,1.229,81,78,94,78,89,94,94,88,81,80,85.7,6.466065264130885
query_004,1.339,90,85,85,95,90,88,90,90,87,86,88.6,2.90516780926679
query_005,1.274,77,75,82,75,76,74,77,83,79,81,77.9,3.014962686336267
query_006,1.218,57,39,39,57,86,57,85,58,57,89,62.4,17.338973441354593
query_007,1.387,95,98,98,98,99,98,99,99,100,98,98.2,1.2489995996796797
query_008,1.36,79,70,79,73,82,73,77,74,78,69,75.4,4.029888335921977
query_009,1.099,98,98,98,99,99,98,99,98,98,99,98.4,0.4898979485566356
query_010,1.285,98,99,99,99,99,99,99,99,99,98,98.8,0.4
query_011,1.476,94,96,94,94,89,87,96,93,95,96,93.4,2.90516780926679
query_012,1.046,80,70,72,70,68,64,74,75,66,79,71.8,4.995998398718719
query_013,0.875,88,88,86,89,86,86,87,87,86,86,86.9,1.0440306508910548
query_014,0.886,56,66,56,58,52,65,63,61,62,55,59.4,4.431703961232067
query_015,1.296,84,91,86,95,90,88,87,91,87,91,89.0,3.03315017762062
query_016,1.506,83,79,89,90,82,86,83,86,84,94,85.6,4.17612260356422
query_017,1.421,98,98,96,98,99,99,99,97,99,97,98.0,1.0
query_018,1.228,90,89,86,88,90,92,90,94,89,94,90.2,2.4
query_019,1.282,93,94,95,94,95,94,94,94,95,93,94.1,0.7000000000000001
query_020,1.228,73,68,74,68,75,70,67,74,73,64,70.6,3.52703841770968
query_021,1.278,85,77,90,77,77,77,77,90,79,77,80.6,5.2573757712379665
query_022,1.628,99,99,99,99,99,98,99,99,99,99,98.9,0.30000000000000004
query_023,1.282,99,100,99,99,98,98,99,99,98,99,98.8,0.6
query_024,1.193,82,89,86,87,85,87,86,89,90,87,86.8,2.181742422927143
query_025,1.14,84,85,79,82,79,82,80,82,80,83,81.6,1.9595917942265422
query_026,0.887,80,79,84,79,83,83,85,81,81,78,81.3,2.238302928559939
query_027,1.56,96,95,94,94,92,94,95,92,98,96,94.6,1.7435595774162693
query_028,1.189,57,41,61,72,68,63,57,64,57,68,60.8,8.24378553820998
query_029,1.548,96,95,96,96,96,96,96,96,96,97,96.0,0.4472135954999579
query_030,0.995,62,73,60,75,66,59,62,61,73,63,65.4,5.713142742834281
query_031,1.092,93,96,96,95,94,94,96,94,95,94,94.7,1.004987562112089
query_032,1.104,84,79,82,78,83,76,84,83,75,80,80.4,3.1368774282716245
query_033,1.253,95,95,94,94,95,93,93,95,95,93,94.2,0.8717797887081347
query_034,1.266,95,95,95,93,94,95,94,94,95,91,94.1,1.2206555615733703
query_035,0.504,61,72,67,62,78,74,71,70,76,60,69.1,6.057227088363124
query_036,1.118,90,87,88,91,87,90,88,85,84,87,87.7,2.0999999999999996
query_037,0.835,72,72,74,72,72,69,67,74,69,68,70.9,2.3430749027719964
query_038,1.032,93,94,85,93,93,94,96,97,46,94,88.5,14.486200329969208
query_039,0.945,59,47,66,65,60,56,51,51,42,51,54.8,7.372923436466705
query_040,1.0,87,89,81,85,82,88,85,88,85,84,85.4,2.4979991993593593
query_041,1.354,97,95,98,97,95,97,97,92,97,94,95.9,1.7578395831246945
query_042,1.276,88,60,89,37,92,90,66,59,88,86,75.5,17.811513130556875
query_043,1.314,97,93,94,94,98,95,92,93,92,95,94.3,1.9
query_044,1.225,98,96,98,95,96,97,97,96,98,99,97.0,1.1832159566199232
query_045,1.225,87,80,67,69,63,85,66,68,65,70,72.0,8.23407554009556
query_046,1.284,74,85,78,76,74,75,73,75,75,77,76.2,3.2496153618543846
query_047,1.128,92,89,93,76,78,77,77,92,76,91,84.1,7.381734213584231
query_048,1.459,98,98,98,98,98,99,99,100,100,98,98.6,0.8
query_049,1.416,100,99,97,98,97,98,99,97,99,98,98.2,0.9797958971132711
query_050,1.094,76,73,71,78,72,76,73,75,76,75,74.5,2.0615528128088303
query_051,1.242,89,89,90,90,89,90,90,90,89,92,89.8,0.8717797887081347
