Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.419,56,28,29,29,55,26,32,28,94,63,44.0,21.34478859112922
query_002,0.953,77,77,76,75,77,77,78,78,78,78,77.1,0.9433981132056604
query_003,1.229,76,80,79,80,83,79,76,82,82,77,79.4,2.3748684174075834
query_004,1.339,95,97,94,94,96,93,91,96,95,96,94.7,1.676305461424021
query_005,1.274,70,70,70,69,69,70,70,72,55,71,68.6,4.608687448721165
query_006,1.218,81,57,61,39,39,45,39,40,39,61,50.1,13.64148085803004
query_007,1.387,96,98,99,98,98,96,98,98,98,99,97.8,0.9797958971132711
query_008,1.36,71,71,89,69,74,72,78,82,74,68,74.8,6.1773780845922
query_009,1.099,98,97,99,98,98,98,96,97,99,97,97.7,0.9
query_010,1.285,97,99,98,99,99,98,98,98,99,98,98.3,0.6403124237432849
query_011,1.476,97,94,95,98,97,96,98,96,96,95,96.2,1.2489995996796797
query_012,1.046,63,69,75,58,60,73,69,56,65,69,65.7,6.050619802962338
query_013,0.875,88,86,87,86,87,87,87,85,88,88,86.9,0.9433981132056604
query_014,0.886,61,64,83,67,65,80,88,60,81,82,73.1,10.06429331846007
query_015,1.296,95,96,88,93,91,91,94,94,98,95,93.5,2.7294688127912363
query_016,1.506,64,55,58,79,56,54,62,56,62,55,60.1,7.119691004531025
query_017,1.421,99,100,99,99,97,100,97,98,98,100,98.7,1.0999999999999999
query_018,1.228,86,86,79,88,77,92,85,81,87,84,84.5,4.224926034855522
query_019,1.282,95,95,94,95,94,94,95,94,94,94,94.4,0.4898979485566356
query_020,1.228,61,63,63,60,63,61,65,64,64,63,62.7,1.4866068747318506
query_021,1.278,92,92,90,88,90,91,89,91,93,91,90.7,1.4177446878757824
query_022,1.628,100,97,98,98,98,99,97,98,99,98,98.2,0.8717797887081347
query_023,1.282,98,98,99,99,99,99,99,99,99,98,98.7,0.45825756949558405
query_024,1.193,90,90,91,90,92,91,93,88,92,89,90.6,1.42828568570857
query_025,1.14,85,81,83,93,94,84,85,84,81,83,85.3,4.313930922024599
query_026,0.887,89,85,85,89,87,91,90,87,90,91,88.4,2.1540659228538015
query_027,1.56,94,91,92,92,93,93,92,90,91,92,92.0,1.0954451150103321
query_028,1.189,26,29,27,25,28,27,28,26,26,29,27.1,1.3
query_029,1.548,97,99,96,95,99,95,96,99,97,95,96.8,1.6
query_030,0.995,2,2,2,2,4,3,3,2,1,2,2.3,0.7810249675906654
query_031,1.092,95,94,95,95,95,95,94,95,95,95,94.8,0.4
query_032,1.104,74,75,70,75,71,75,73,71,69,75,72.8,2.2271057451320084
query_033,1.253,96,98,97,96,96,96,94,97,97,97,96.4,1.0198039027185568
query_034,1.266,94,94,92,92,94,91,94,95,93,95,93.4,1.2806248474865698
query_035,0.504,76,74,78,70,69,70,82,82,61,70,73.2,6.193545026880809
query_036,1.118,92,91,92,93,92,91,91,91,94,92,91.9,0.9433981132056604
query_037,0.835,72,65,71,67,76,71,73,74,72,66,70.7,3.4073450074801643
query_038,1.032,67,72,91,98,89,91,90,96,97,98,88.9,10.280564186852782
query_039,0.945,52,60,52,59,58,59,49,58,59,56,56.2,3.627671429443411
query_040,1.0,93,96,93,92,95,95,94,93,90,90,93.1,1.9209372712298547
query_041,1.354,95,96,97,97,95,97,97,97,96,96,96.3,0.7810249675906654
query_042,1.276,53,55,50,50,48,58,45,58,52,57,52.6,4.2
query_043,1.314,95,97,94,95,93,94,97,93,95,93,94.6,1.42828568570857
query_044,1.225,99,99,99,99,99,99,99,100,99,98,99.0,0.4472135954999579
query_045,1.225,66,64,65,59,60,68,73,60,67,70,65.2,4.354308211415448
query_046,1.284,80,79,70,80,84,90,72,78,72,89,79.4,6.529931086925804
query_047,1.128,73,73,73,77,75,75,73,73,74,74,74.0,1.2649110640673518
query_048,1.459,99,96,99,100,100,98,99,99,99,100,98.9,1.1357816691600546
query_049,1.416,97,97,97,95,97,95,95,97,97,97,96.4,0.9165151389911679
query_050,1.094,76,79,76,73,79,77,77,78,80,78,77.3,1.9000000000000001
query_051,1.242,90,90,89,89,89,88,88,87,89,90,88.9,0.9433981132056604
query_052,1.269,99,99,99,99,98,100,99,99,98,99,98.9,0.5385164807134505
query_053,1.082,71,72,69,75,69,69,74,72,75,78,72.4,2.90516780926679
query_054,1.461,87,88,89,87,88,84,89,89,89,77,86.7,3.5510561809129406
query_055,1.15,79,84,80,85,80,80,82,81,78,77,80.6,2.3748684174075834
query_056,0.93,78,79,79,80,79,79,79,79,78,80,79.0,0.6324555320336759
query_057,1.081,97,98,96,97,95,96,98,97,95,96,96.5,1.02469507659596
query_058,0.953,98,98,98,98,98,97,99,99,99,98,98.2,0.6
query_059,1.351,89,95,94,88,92,94,94,95,91,94,92.6,2.3748684174075834
query_060,1.915,97,95,94,95,96,96,96,95,95,92,95.1,1.3
query_061,1.813,99,99,99,97,97,97,100,97,98,98,98.1,1.0440306508910548
query_062,1.2,77,78,75,80,74,77,75,77,75,75,76.3,1.7349351572897473
query_063,1.298,90,89,89,94,90,90,92,94,87,88,90.3,2.238302928559939
query_064,1.0,96,97,98,99,98,97,97,98,97,98,97.5,0.806225774829855
query_065,1.217,86,89,89,87,88,89,89,89,88,87,88.1,1.0440306508910548
query_066,1.291,82,91,84,85,85,92,88,84,86,85,86.2,3.026549190084311
query_067,1.231,100,99,94,99,98,99,97,99,99,97,98.1,1.6401219466856725
query_068,1.237,67,67,60,43,79,68,36,62,65,64,61.1,11.920151005754919
query_069,1.468,82,80,87,83,93,83,87,82,83,83,84.3,3.551056180912941
query_070,1.57,100,100,99,99,99,99,98,99,99,98,99.0,0.6324555320336759
query_071,1.535,98,99,97,98,98,99,98,98,98,99,98.2,0.6
query_072,1.392,98,99,97,99,99,98,99,99,96,99,98.3,1.004987562112089
query_073,1.288,96,93,96,93,95,98,97,96,97,95,95.6,1.5620499351813308
query_074,1.364,97,97,97,98,96,97,97,97,97,96,96.9,0.5385164807134505
query_075,1.1,91,91,91,91,94,91,91,91,88,89,90.8,1.4696938456699067
query_076,1.077,34,36,34,35,35,34,37,39,32,37,35.3,1.9
query_077,1.044,70,76,70,68,66,76,67,66,70,64,69.3,3.8483762809787714
query_078,0.878,89,91,92,91,91,90,91,93,94,93,91.5,1.4317821063276353
query_079,0.941,56,65,53,62,67,53,67,64,60,62,60.9,5.028916384272063
query_080,0.932,71,81,81,72,81,72,83,75,81,71,76.8,4.749736834815167
query_081,1.192,76,78,74,75,76,76,75,74,77,76,75.7,1.1874342087037917
query_082,1.438,91,91,89,90,91,91,89,89,91,90,90.2,0.8717797887081347
query_083,1.255,98,98,98,98,99,99,98,95,97,98,97.8,1.0770329614269007
query_084,1.141,69,69,69,70,69,66,65,67,68,71,68.3,1.7349351572897473
query_085,1.719,97,98,95,97,90,96,89,92,87,97,93.8,3.7629775444453557
query_086,1.086,87,85,87,85,86,84,86,84,84,86,85.4,1.1135528725660042
query_087,1.236,74,74,73,75,75,73,74,74,77,71,74.0,1.4832396974191326
query_088,1.292,82,77,76,82,81,80,70,82,82,77,78.9,3.726929030716845
query_089,0.969,80,78,79,79,78,79,79,80,79,79,79.0,0.6324555320336759
