Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.506,96,99,98,99,99,100,99,100,100,100,99.0,1.1832159566199232
query_002,0.901,92,87,90,92,93,94,90,90,93,91,91.2,1.9390719429665315
query_003,1.271,89,87,88,87,88,86,89,86,85,86,87.1,1.3
query_004,1.173,99,97,97,99,98,98,99,99,98,98,98.2,0.7483314773547882
query_005,1.17,92,92,90,94,92,90,93,93,93,93,92.2,1.2489995996796797
query_006,1.15,90,87,92,96,98,95,93,97,91,91,93.0,3.286335345030997
query_007,1.211,72,73,71,71,72,72,71,70,74,74,72.0,1.2649110640673518
query_008,1.272,57,56,58,60,59,57,59,58,58,59,58.1,1.1357816691600546
query_009,1.031,75,83,67,71,72,73,73,76,68,76,73.4,4.317406628984581
query_010,1.183,91,90,91,90,86,89,88,90,86,85,88.6,2.1071307505705477
query_011,1.511,99,99,99,98,99,98,99,99,99,98,98.7,0.45825756949558405
query_012,1.051,53,54,53,18,73,50,53,59,52,51,51.6,12.870120434556936
query_013,0.948,90,89,87,84,78,40,86,84,88,62,78.8,15.085091978506464
query_014,0.874,81,79,79,83,85,81,72,85,75,71,79.1,4.742362280551751
query_015,1.248,92,92,93,93,93,93,92,92,93,94,92.7,0.6403124237432849
query_016,1.41,58,59,37,44,48,43,36,49,59,52,48.5,8.139410298049853
query_017,1.16,84,90,86,81,87,86,84,82,87,85,85.2,2.4819347291981715
query_018,1.235,92,91,91,95,94,88,91,94,92,91,91.9,1.9209372712298545
query_019,1.217,72,78,68,78,69,75,79,74,73,69,73.5,3.8275318418009276
query_020,1.216,83,82,82,83,83,83,82,83,83,80,82.4,0.9165151389911681
query_021,1.211,99,99,98,97,99,100,99,99,99,99,98.8,0.7483314773547882
query_022,1.251,85,83,85,85,85,85,82,83,80,85,83.8,1.6613247725836149
query_023,1.234,98,99,99,98,99,98,99,96,99,97,98.2,0.9797958971132712
query_024,1.319,61,53,59,61,63,63,57,59,60,56,59.2,2.993325909419153
query_025,1.179,97,98,98,96,97,99,98,98,98,98,97.7,0.7810249675906654
query_026,0.888,98,99,99,97,98,98,97,99,97,97,97.9,0.8306623862918076
query_027,1.606,99,99,100,99,98,97,99,90,97,99,97.7,2.72213151776324
query_028,1.171,94,95,93,94,92,93,93,93,94,94,93.5,0.806225774829855
query_029,1.287,76,70,74,32,73,76,73,74,70,38,65.6,15.480310074413884
query_030,0.978,94,96,96,97,95,95,95,96,97,97,95.8,0.9797958971132712
query_031,0.982,77,78,83,77,74,76,74,75,75,71,76.0,3.0
query_032,1.107,61,53,57,52,50,62,58,52,59,53,55.7,4.001249804748512
query_033,1.195,92,91,94,94,93,93,93,94,93,91,92.8,1.0770329614269007
query_034,1.283,99,100,100,100,98,99,100,99,99,100,99.4,0.66332495807108
query_035,0.555,43,32,24,42,19,22,34,26,38,48,32.8,9.378699270154684
query_036,1.269,96,97,97,98,99,100,98,99,99,99,98.2,1.16619037896906
query_037,0.967,98,97,94,95,93,98,93,96,97,98,95.9,1.9209372712298547
query_038,1.099,78,78,80,75,71,71,75,80,75,76,75.9,3.047950130825634
query_039,0.86,87,86,85,87,91,79,87,86,88,84,86.0,2.932575659723036
query_040,0.953,94,94,92,93,94,94,92,94,91,91,92.9,1.2206555615733703
query_041,1.359,96,94,92,95,94,94,97,97,96,96,95.1,1.5132745950421556
query_042,1.278,85,94,99,91,88,83,94,100,93,94,92.1,5.223983154643591
query_043,1.24,93,91,96,93,96,97,97,73,91,84,91.1,7.091544260596558
query_044,1.143,88,98,96,98,97,97,93,84,97,95,94.3,4.473253849269009
query_045,1.256,86,64,92,84,84,87,88,96,94,85,86.0,8.35463942968217
query_046,1.288,94,97,99,99,97,95,97,97,98,99,97.2,1.6
query_047,1.093,94,89,94,92,94,91,91,91,92,90,91.8,1.661324772583615
query_048,1.196,66,66,68,64,63,67,66,67,69,69,66.5,1.857417562100671
query_049,1.216,98,97,97,97,97,98,97,97,97,92,96.7,1.6155494421403513
query_050,1.159,92,79,89,92,66,82,85,77,85,73,82.0,7.987490219086343
query_051,1.079,89,70,86,92,91,85,89,82,89,91,86.4,6.200000000000001
query_052,1.049,96,83,96,98,96,96,97,96,96,97,95.1,4.085339643163099
query_053,0.923,87,84,85,85,87,84,86,84,84,84,85.0,1.1832159566199232
query_054,1.229,82,77,77,77,81,81,78,79,76,80,78.8,1.9899748742132397
query_055,1.079,68,70,68,65,70,75,68,66,69,67,68.6,2.615339366124404
query_056,1.011,73,96,92,95,91,78,94,85,94,90,88.8,7.35934779718964
query_057,1.163,98,99,99,100,98,99,97,98,97,98,98.3,0.9
query_058,0.987,58,59,57,58,60,50,48,53,51,50,54.4,4.223742416388575
query_059,1.448,99,99,99,98,98,98,98,99,97,98,98.3,0.6403124237432849
query_060,1.61,97,99,99,100,96,97,99,100,99,98,98.4,1.2806248474865698
query_061,1.468,96,96,88,90,92,93,90,90,97,98,93.0,3.3466401061363023
query_062,1.317,98,98,96,100,99,99,100,100,98,100,98.8,1.2489995996796797
query_063,1.375,89,89,69,93,88,88,93,89,91,89,87.8,6.508456038109192
query_064,0.926,27,29,32,34,25,31,29,33,31,34,30.5,2.8372521918222215
query_065,1.231,98,98,100,100,100,100,95,99,100,100,99.0,1.5491933384829668
query_066,1.206,73,75,76,77,77,75,76,76,73,76,75.4,1.3564659966250536
query_067,1.117,75,82,70,68,63,63,61,63,75,82,70.2,7.547184905645283
query_068,1.323,98,98,97,98,97,97,97,98,97,97,97.4,0.4898979485566356
query_069,1.372,80,81,50,82,79,81,85,80,80,80,77.8,9.399999999999999
query_070,1.628,99,95,99,96,99,99,98,96,99,98,97.8,1.469693845669907
query_071,1.411,99,99,95,98,97,99,96,98,99,99,97.9,1.374772708486752
query_072,1.28,79,80,81,80,77,70,81,80,80,79,78.7,3.1000000000000005
query_073,1.11,98,99,98,91,98,96,96,98,99,99,97.2,2.315167380558045
query_074,1.256,87,89,83,88,88,88,90,88,87,87,87.5,1.746424919657298
query_075,1.059,83,83,79,84,80,79,79,84,78,78,80.7,2.368543856465402
query_076,1.07,72,75,77,76,77,76,75,72,81,72,75.3,2.6851443164195103
query_077,1.121,99,96,96,97,98,94,95,95,99,98,96.7,1.676305461424021
query_078,0.878,94,91,92,92,91,91,90,92,90,89,91.2,1.3266499161421599
query_079,0.93,94,95,92,95,94,93,94,94,94,96,94.1,1.044030650891055
query_080,0.971,61,58,59,57,60,62,59,58,64,56,59.4,2.2891046284519194
query_081,1.092,56,53,51,51,91,53,49,51,54,55,56.4,11.706408501329518
query_082,1.352,50,94,73,79,70,90,86,51,87,83,76.3,14.642745644174797
query_083,1.196,99,98,98,99,99,98,98,97,99,98,98.3,0.6403124237432849
query_084,1.334,76,74,76,72,73,91,74,73,76,75,76.0,5.176871642217914
query_085,1.593,100,100,100,100,99,100,98,99,99,99,99.4,0.66332495807108
query_086,1.254,98,97,95,99,97,98,97,99,96,96,97.2,1.2489995996796797
query_087,1.093,100,100,98,97,100,98,100,99,96,99,98.7,1.345362404707371
query_088,1.32,97,98,98,97,99,99,99,98,99,98,98.2,0.7483314773547882
query_089,0.966,72,73,79,74,77,73,72,75,80,73,74.8,2.749545416973504
query_090,1.234,87,86,87,77,88,90,83,88,89,85,86.0,3.5496478698597698
query_091,1.188,92,94,97,93,96,93,98,92,92,93,94.0,2.0976176963403033
query_092,1.232,91,87,96,92,89,87,90,90,90,89,90.1,2.467792535850613
query_093,0.927,83,83,83,82,83,84,84,81,84,82,82.9,0.9433981132056604
query_094,1.268,97,97,98,98,98,99,97,99,98,97,97.8,0.7483314773547882
query_095,1.124,75,82,73,72,75,74,79,83,86,85,78.4,4.983974317750844
query_096,1.372,98,87,96,91,95,97,96,89,94,95,93.8,3.4292856398964497
query_097,1.22,97,97,94,95,96,95,94,94,96,95,95.3,1.0999999999999999
query_098,1.061,79,73,74,77,69,79,74,79,76,72,75.2,3.2186953878862163
query_099,1.157,83,89,87,87,89,84,88,83,85,87,86.2,2.181742422927143
query_100,1.07,89,91,94,89,91,91,93,91,94,91,91.4,1.6852299546352716
query_101,1.172,94,92,94,92,90,93,95,94,94,92,93.0,1.4142135623730951
query_102,1.291,99,98,99,97,98,96,98,97,97,98,97.7,0.9
query_103,1.211,98,96,97,94,97,97,94,97,96,95,96.1,1.3
query_104,1.249,79,77,84,76,73,87,74,84,49,81,76.4,10.121264743103996
query_105,1.041,63,62,68,63,65,65,62,63,62,66,63.9,1.9209372712298547
query_106,1.332,91,92,67,96,97,95,94,95,82,98,90.7,8.989438247187639
query_107,1.006,97,94,93,92,91,95,93,93,95,97,94.0,1.8973665961010275
query_108,1.279,43,46,54,49,55,54,54,40,55,56,50.6,5.44426303552648
query_109,1.403,98,96,99,97,97,96,99,99,97,99,97.7,1.1874342087037917
