Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.343,96,90,85,85,52,88,87,93,77,92,84.5,11.926860441876563
query_002,0.952,77,80,75,72,71,73,77,76,75,81,75.7,3.0675723300355937
query_003,1.229,81,66,80,80,88,59,83,74,85,93,78.9,9.637945839233586
query_004,1.357,93,93,92,95,94,95,93,93,94,93,93.5,0.9219544457292888
query_005,1.189,82,88,80,78,85,80,87,86,74,91,83.1,4.928488612140643
query_006,1.097,76,80,85,76,84,83,77,83,87,84,81.5,3.774917217635375
query_007,1.24,77,74,67,68,66,73,68,71,65,68,69.7,3.6891733491393435
query_008,1.321,80,40,88,60,40,81,39,39,82,67,61.6,19.530488985173925
query_009,1.019,77,74,63,70,65,64,80,69,68,65,69.5,5.5
query_010,1.131,67,70,73,68,61,54,55,68,70,71,65.7,6.3568860301251275
query_011,1.266,70,72,73,74,66,70,73,72,66,73,70.9,2.7367864366808017
query_012,1.044,57,50,46,64,52,58,53,58,52,55,54.5,4.780167361086848
query_013,0.928,77,68,71,75,76,66,67,71,71,53,69.5,6.545991139621257
query_014,0.983,70,67,56,80,53,81,50,49,86,82,67.4,13.741906709041507
query_015,1.295,100,100,100,100,99,100,100,100,100,100,99.9,0.30000000000000004
query_016,1.436,89,90,89,90,92,89,88,89,91,89,89.6,1.1135528725660042
query_017,1.155,49,61,47,66,51,65,61,61,61,65,58.7,6.664082832618454
query_018,1.133,80,79,74,77,74,72,74,73,77,81,76.1,2.981610303175115
query_019,1.147,73,68,71,77,67,75,50,75,65,70,69.1,7.340980860893182
query_020,1.216,69,72,72,74,72,67,74,77,69,68,71.4,2.973213749463701
query_021,1.09,45,53,57,45,52,51,48,49,53,60,51.3,4.583666654546335
query_022,1.239,96,95,97,90,94,97,92,91,91,97,94.0,2.6457513110645907
query_023,1.109,50,45,47,60,39,43,49,49,52,41,47.5,5.73149195236284
query_024,1.283,89,98,96,89,94,88,89,87,89,90,90.9,3.5341194094144583
query_025,1.02,71,80,73,68,76,74,76,82,78,69,74.7,4.360045871318328
query_026,0.871,54,52,55,54,52,57,55,59,54,63,55.5,3.2015621187164243
query_027,1.429,68,72,67,69,98,80,94,84,67,59,75.8,12.114454176726248
query_028,1.1,42,51,51,48,34,53,52,49,48,49,47.7,5.404627646748664
query_029,1.251,93,95,93,95,91,95,87,96,96,94,93.5,2.6172504656604803
query_030,0.964,68,71,62,66,64,75,82,63,60,71,68.2,6.384355879804947
query_031,1.006,51,46,44,51,39,33,64,49,55,39,47.1,8.50235261559999
query_032,1.247,84,81,79,80,68,85,64,80,68,79,76.8,6.968500556073739
query_033,1.209,80,85,82,80,82,81,81,84,84,82,82.1,1.6401219466856725
query_034,1.111,67,70,83,53,65,74,70,59,68,70,67.9,7.673982017179869
query_035,0.511,64,64,64,64,65,69,63,63,65,67,64.8,1.7776388834631178
query_036,1.151,86,84,84,86,83,84,87,86,83,87,85.0,1.4832396974191326
query_037,0.887,57,64,68,61,51,64,65,66,58,65,61.9,4.90815647672321
query_038,1.005,64,61,68,64,66,66,65,70,64,65,65.3,2.3259406699226015
query_039,0.896,30,36,34,36,31,32,34,48,37,38,35.6,4.8207883172775805
query_040,0.957,67,65,54,63,59,58,61,55,61,59,60.2,3.8935844667863564
query_041,1.491,90,91,50,90,96,73,73,72,84,73,79.2,13.029197979921866
query_042,1.258,84,81,83,85,81,81,83,79,81,82,82.0,1.6733200530681511
query_043,1.311,85,74,48,84,50,83,77,49,68,51,66.9,14.996332885075603
query_044,1.212,90,85,87,86,87,87,86,88,85,89,87.0,1.5491933384829668
query_045,1.162,63,68,72,63,67,71,69,56,72,53,65.4,6.2801273872430325
query_046,1.133,72,69,68,65,73,62,70,57,60,67,66.3,4.980963762164909
query_047,1.025,69,57,62,52,33,52,71,52,61,60,56.9,10.202450685987166
query_048,1.355,82,81,81,80,74,77,77,79,82,79,79.2,2.4413111231467406
query_049,1.186,59,56,59,56,60,61,57,60,55,64,58.7,2.6095976701399777
query_050,1.108,73,76,60,74,72,53,81,64,71,67,69.1,7.8287930104199335
query_051,1.146,80,77,78,80,76,79,80,81,73,83,78.7,2.6851443164195103
query_052,1.106,83,92,73,86,79,83,82,87,84,89,83.8,5.035871324805669
query_053,1.132,72,83,75,76,79,75,82,81,83,82,78.8,3.7894590642992827
query_054,1.316,80,83,47,58,84,50,85,48,48,68,65.1,15.795252451290544
query_055,1.271,84,81,84,80,81,82,80,84,79,81,81.6,1.7435595774162693
query_056,0.931,80,82,80,82,77,79,81,81,76,80,79.8,1.8867962264113207
query_057,0.995,81,81,76,80,84,80,70,79,78,79,78.8,3.5440090293338704
query_058,0.957,95,96,89,87,94,92,93,93,94,87,92.0,3.0659419433511785
query_059,1.291,68,89,76,72,66,91,66,86,96,68,77.8,10.979981785048643
query_060,1.413,75,91,72,91,71,73,81,73,76,72,77.5,7.269800547470337
query_061,1.469,91,89,91,90,91,91,91,92,91,91,90.8,0.7483314773547882
query_062,1.127,55,52,57,58,50,66,75,77,54,55,59.9,9.0160967164289
query_063,1.202,76,76,66,80,79,76,76,81,75,82,76.7,4.267317658670374
query_064,1.053,68,63,60,57,56,64,66,59,68,61,62.2,4.093897898091744
query_065,1.099,52,55,46,55,56,46,50,53,56,44,51.3,4.313930922024599
query_066,1.271,86,87,91,81,92,86,84,86,80,88,86.1,3.6180105030251086
query_067,1.038,79,77,78,75,77,81,88,84,68,83,79.0,5.215361924162119
query_068,1.215,72,70,77,71,73,65,68,78,66,72,71.2,4.019950248448356
query_069,1.182,71,77,76,77,76,78,84,77,77,73,76.6,3.2
query_070,1.285,85,84,72,77,77,89,87,77,87,81,81.6,5.351635264103861
query_071,1.314,96,94,90,91,95,94,97,97,97,74,92.5,6.591661399070799
query_072,1.296,92,93,91,89,92,89,92,89,89,95,91.1,1.972308292331602
query_073,1.172,79,80,85,85,85,82,85,84,88,84,83.7,2.5317977802344327
query_074,1.275,68,70,84,79,80,79,72,82,82,72,76.8,5.436910887627274
query_075,1.263,91,91,91,91,92,94,92,91,91,91,91.5,0.9219544457292888
query_076,1.045,75,72,70,75,75,70,66,63,72,74,71.2,3.867815921162743
