Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.333,88,69,74,82,85,64,86,77,88,85,79.8,7.997499609252882
query_002,1.0,69,70,68,72,65,66,67,73,68,71,68.9,2.467792535850613
query_003,1.181,73,77,73,72,80,94,81,71,72,80,77.3,6.634003316248795
query_004,1.235,77,71,78,70,72,82,64,71,73,58,71.6,6.529931086925803
query_005,1.195,74,72,73,74,71,75,72,72,73,74,73.0,1.1832159566199232
query_006,1.083,68,63,62,71,61,69,68,68,68,68,66.6,3.168595903550972
query_007,1.317,68,89,88,79,60,60,81,90,58,83,75.6,12.208193969625482
query_008,1.397,84,83,83,86,80,81,64,81,78,78,79.8,5.793099343184096
query_009,1.025,69,65,72,65,75,65,61,69,73,58,67.2,5.114684741017769
query_010,1.293,71,71,72,71,72,73,88,98,72,72,76.0,8.809086218218097
query_011,1.347,87,80,81,82,83,79,85,84,82,82,82.5,2.247220505424423
query_012,1.079,91,91,90,90,91,91,91,92,90,91,90.8,0.6
query_013,0.93,96,92,91,94,96,94,94,93,91,95,93.6,1.7435595774162693
query_014,0.947,73,69,65,76,72,75,76,74,79,69,72.8,3.9446165846632035
query_015,1.214,82,91,87,81,81,88,85,91,86,85,85.7,3.49428104193123
query_016,1.402,95,96,94,95,89,95,95,96,90,96,94.1,2.3853720883753127
query_017,1.144,91,95,84,90,90,89,85,90,94,89,89.7,3.2264531609803355
query_018,1.3,87,89,84,88,86,88,88,91,87,86,87.4,1.8
query_019,1.15,82,81,88,87,90,88,79,88,83,84,85.0,3.492849839314596
query_020,1.237,97,94,93,94,97,95,96,96,97,94,95.3,1.4177446878757824
query_021,1.219,85,83,81,87,82,80,82,83,84,83,83.0,1.8973665961010275
query_022,1.402,99,99,99,99,99,100,99,100,100,99,99.3,0.45825756949558394
query_023,1.214,93,83,81,85,90,86,87,85,85,89,86.4,3.32264954516723
query_024,1.29,97,99,99,99,100,99,97,98,99,96,98.3,1.1874342087037917
query_025,1.033,72,76,63,73,71,72,76,74,72,76,72.5,3.640054944640259
query_026,0.875,56,59,65,66,61,60,58,61,65,69,62.0,3.872983346207417
query_027,1.43,83,88,77,87,92,89,85,87,84,85,85.7,3.8223029707232787
query_028,1.249,96,93,96,94,98,98,98,94,92,98,95.7,2.1931712199461306
query_029,1.325,88,91,91,87,91,91,90,86,88,89,89.2,1.7776388834631178
query_030,0.956,73,74,75,70,80,76,74,75,72,80,74.9,3.0149626863362666
query_031,0.965,80,79,76,76,80,77,78,79,75,76,77.6,1.7435595774162693
query_032,1.195,91,90,87,90,89,88,89,87,87,88,88.6,1.3564659966250536
query_033,1.116,72,84,85,32,74,68,81,64,75,68,70.3,14.40173600646811
query_034,1.178,84,81,83,83,85,83,87,88,82,87,84.3,2.238302928559939
query_035,0.558,72,79,81,81,85,85,78,81,81,80,80.3,3.49428104193123
query_036,1.095,92,80,89,85,91,85,81,89,85,91,86.8,4.019950248448356
query_037,0.948,94,98,94,94,94,93,96,94,93,94,94.4,1.42828568570857
query_038,1.043,85,95,80,81,86,85,84,79,84,83,84.2,4.214261501141095
query_039,0.893,39,45,42,47,43,49,50,53,39,45,45.2,4.3999999999999995
query_040,1.045,81,82,85,86,83,81,81,80,82,87,82.8,2.2715633383201093
query_041,1.3,40,39,53,42,45,49,39,67,56,41,47.1,8.734414691323055
query_042,1.334,96,97,98,99,94,97,94,97,95,92,95.9,2.0223748416156684
query_043,1.13,82,72,74,80,76,65,61,68,67,70,71.5,6.296824596572466
query_044,1.078,86,94,90,88,91,90,87,90,86,86,88.8,2.5219040425836985
query_045,1.251,83,92,88,87,86,87,90,82,86,80,86.1,3.448187929913334
query_046,1.221,86,88,79,83,76,78,80,85,84,75,81.4,4.199999999999999
query_047,1.575,100,99,99,99,99,100,99,100,98,99,99.2,0.6
query_048,1.327,99,99,97,97,96,90,98,97,99,97,96.9,2.5079872407968904
query_049,1.203,87,90,89,86,89,91,85,91,86,84,87.8,2.4
query_050,1.092,91,85,87,88,91,88,89,88,90,89,88.6,1.7435595774162693
query_051,1.255,98,92,77,89,90,94,91,87,90,97,90.5,5.572252686302013
query_052,1.17,95,98,96,97,95,98,97,97,98,97,96.8,1.0770329614269007
query_053,1.04,45,49,59,45,54,58,54,61,51,51,52.7,5.273518749374083
query_054,1.301,79,72,75,78,76,81,75,71,75,77,75.9,2.879236009777594
query_055,1.228,67,74,68,61,61,77,81,61,70,63,68.3,6.797793759742936
query_056,1.018,92,95,93,93,94,90,93,94,94,96,93.4,1.5620499351813308
query_057,1.07,94,94,91,94,94,94,93,90,90,93,92.7,1.6155494421403511
query_058,0.97,96,95,95,96,96,95,96,95,96,94,95.4,0.66332495807108
query_059,1.31,88,87,92,89,90,89,91,88,88,88,89.0,1.4832396974191326
query_060,1.508,98,100,98,99,98,98,97,98,99,99,98.4,0.8
query_061,1.575,91,96,96,85,74,88,94,84,97,96,90.1,7.034912934784622
query_062,1.432,97,97,97,97,97,97,97,97,99,97,97.2,0.6
query_063,1.286,91,95,91,85,88,92,85,89,94,86,89.6,3.4117444218463957
query_064,1.004,76,66,54,72,72,55,63,79,67,71,67.5,7.864477096412704
query_065,1.213,86,86,82,84,87,84,90,86,86,89,86.0,2.23606797749979
query_066,1.207,89,91,90,83,85,93,91,89,92,91,89.4,2.973213749463701
query_067,1.174,99,99,99,97,98,92,97,98,99,99,97.7,2.051828452868319
query_068,1.28,91,91,95,93,81,89,85,90,82,92,88.9,4.459820624195551
query_069,1.316,92,93,88,87,87,89,87,87,86,87,88.3,2.238302928559939
query_070,1.691,99,100,100,100,100,100,100,100,100,100,99.9,0.30000000000000004
query_071,1.359,95,93,94,95,97,92,94,96,94,96,94.6,1.42828568570857
query_072,1.33,86,87,86,86,86,86,86,86,86,87,86.2,0.4
query_073,1.158,68,70,64,66,52,67,73,57,64,64,64.5,5.80086200490927
query_074,1.292,91,89,54,55,93,94,87,94,93,60,81.0,16.34625339336204
query_075,1.013,87,85,85,84,84,87,86,84,83,86,85.1,1.3
query_076,1.114,72,65,71,72,69,70,74,68,69,65,69.5,2.80178514522438
query_077,1.079,85,80,83,83,81,85,83,86,84,84,83.4,1.7435595774162693
query_078,0.856,77,81,79,81,79,81,74,82,84,77,79.5,2.7658633371878665
query_079,0.974,81,81,82,81,90,81,81,81,81,81,82.0,2.6832815729997477
query_080,1.038,83,76,86,76,82,80,79,85,81,81,80.9,3.176476034853718
query_081,1.092,92,88,91,90,92,88,92,91,93,91,90.8,1.5999999999999999
query_082,1.52,98,99,98,98,97,99,99,98,99,99,98.4,0.66332495807108
query_083,1.197,80,80,85,80,77,78,73,78,84,81,79.6,3.261901286060018
query_084,1.106,90,88,87,87,88,90,88,87,88,88,88.1,1.0440306508910548
query_085,1.482,89,96,98,98,97,97,96,97,96,95,95.9,2.467792535850613
query_086,1.066,85,90,91,92,88,91,79,85,90,91,88.2,3.867815921162743
query_087,0.998,77,89,87,85,83,92,90,88,78,87,85.6,4.6946778377222005
query_088,1.273,78,79,89,83,81,81,80,77,80,82,81.0,3.1622776601683795
query_089,0.946,67,70,70,71,73,72,71,72,68,69,70.3,1.7916472867168916
query_090,1.327,96,96,97,94,97,97,94,98,98,93,96.0,1.6733200530681511
query_091,1.113,74,74,60,82,77,84,78,78,74,81,76.2,6.337191807101944
