Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.263,93,93,89,95,82,87,84,94,84,91,89.2,4.467661580737735
query_002,0.995,80,87,88,87,86,86,85,85,87,86,85.7,2.0999999999999996
query_003,1.159,84,85,88,86,88,86,90,87,86,88,86.8,1.661324772583615
query_004,1.225,97,97,97,95,96,98,96,95,95,96,96.2,0.9797958971132711
query_005,1.162,86,85,87,87,85,90,82,88,86,85,86.1,2.0223748416156684
query_006,1.075,49,52,57,55,52,54,51,53,55,55,53.3,2.238302928559939
query_007,1.257,89,94,93,92,94,92,95,94,95,92,93.0,1.7320508075688772
query_008,1.265,87,87,86,88,88,90,88,88,87,89,87.8,1.0770329614269007
query_009,1.031,91,93,91,91,91,91,93,93,94,92,92.0,1.0954451150103321
query_010,1.083,72,70,77,74,74,75,72,72,66,72,72.4,2.835489375751565
query_011,1.249,56,66,59,62,57,60,53,57,60,60,59.0,3.3763886032268267
query_012,1.17,97,97,95,96,96,97,97,97,97,97,96.6,0.66332495807108
query_013,0.845,64,58,67,66,63,62,65,65,65,65,64.0,2.4083189157584592
query_014,0.915,59,65,70,62,64,68,65,66,55,62,63.6,4.127953488110059
query_015,1.173,71,71,69,72,73,71,74,68,73,70,71.2,1.7776388834631176
query_016,1.52,84,82,84,83,84,83,81,82,83,83,82.9,0.9433981132056604
query_017,1.068,98,98,98,98,97,99,98,97,99,99,98.1,0.7000000000000001
query_018,1.145,93,94,96,94,90,89,96,93,93,91,92.9,2.211334438749598
query_019,1.097,52,61,53,58,69,76,60,69,70,54,62.2,7.896834808959853
query_020,1.152,52,50,51,52,54,44,47,50,51,45,49.6,3.0724582991474434
query_021,1.16,90,91,93,89,92,93,92,93,93,92,91.8,1.32664991614216
query_022,1.303,97,97,98,95,96,100,98,94,99,97,97.1,1.7
query_023,1.103,77,78,78,75,77,77,76,76,80,73,76.7,1.7916472867168918
query_024,1.174,95,98,98,98,98,98,96,97,98,98,97.4,1.0198039027185568
query_025,0.975,91,90,85,89,88,88,86,91,88,90,88.6,1.907878402833891
query_026,0.898,92,91,88,89,86,93,90,91,92,91,90.3,2.0024984394500787
query_027,1.316,62,60,42,66,56,50,51,62,36,57,54.2,9.019977827023745
query_028,1.139,87,73,76,87,86,75,73,74,75,84,79.0,5.830951894845301
query_029,1.288,83,84,84,83,84,82,85,83,84,81,83.3,1.0999999999999999
query_030,0.908,67,62,64,61,68,68,68,67,62,67,65.4,2.690724809414742
query_031,0.907,62,49,64,65,48,46,63,65,62,65,58.9,7.462573282722254
query_032,1.094,96,96,97,96,96,94,95,95,96,96,95.7,0.7810249675906654
query_033,1.111,90,88,95,89,88,88,84,92,91,93,89.8,2.9597297173897488
query_034,1.06,82,79,77,79,81,75,80,78,82,75,78.8,2.4413111231467406
query_035,0.513,54,49,50,44,54,52,52,44,47,45,49.1,3.726929030716845
query_036,1.025,78,79,80,80,79,76,80,81,78,77,78.8,1.469693845669907
query_037,0.846,55,54,58,57,55,54,55,60,58,56,56.2,1.8867962264113207
query_038,0.952,68,70,69,66,70,72,69,67,75,67,69.3,2.5317977802344322
query_039,1.052,40,36,29,29,26,32,38,18,40,32,32.0,6.557438524302
