Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.188,98,99,97,98,98,97,97,97,98,99,97.8,0.7483314773547882
query_002,0.927,75,77,73,74,77,72,73,73,75,74,74.3,1.6155494421403513
query_003,1.095,88,90,91,91,90,89,90,85,91,91,89.6,1.8
query_004,1.136,55,63,62,76,56,56,55,59,52,53,58.7,6.694027188471825
query_005,1.14,80,79,80,83,81,81,82,80,83,81,81.0,1.2649110640673518
query_006,0.997,67,53,66,54,54,61,61,40,64,67,58.7,8.1
query_007,1.173,54,46,46,54,46,54,46,46,54,46,49.2,3.919183588453085
query_008,1.136,65,65,82,73,65,84,31,65,64,65,65.9,13.64880947189168
query_009,0.972,97,94,95,97,97,95,97,97,97,97,96.3,1.0999999999999999
query_010,1.024,88,90,88,89,89,88,90,90,90,88,89.0,0.8944271909999159
query_011,1.263,97,97,97,96,97,97,95,98,98,95,96.7,1.004987562112089
query_012,0.978,85,29,84,67,84,85,29,83,29,84,65.9,24.679748783162278
query_013,0.912,49,84,72,73,10,83,72,78,72,64,65.7,20.837706207737934
query_014,0.857,82,85,82,85,85,55,88,87,85,85,81.9,9.137286249209884
query_015,1.143,80,80,20,80,80,20,20,80,20,20,50.0,30.0
query_016,1.279,99,100,99,99,99,99,99,99,100,100,99.3,0.45825756949558405
query_017,1.074,63,59,52,56,54,61,66,55,61,57,58.4,4.1521078984053394
query_018,1.175,93,98,93,93,98,93,93,95,93,93,94.2,1.9899748742132397
query_019,1.201,97,97,97,96,97,98,97,98,97,96,97.0,0.6324555320336759
query_020,1.098,45,48,45,45,80,47,46,47,80,47,53.0,13.535139452550904
query_021,1.259,100,89,99,100,99,100,100,100,100,100,98.7,3.2572994949804666
query_022,1.243,99,99,99,100,100,99,99,99,99,99,99.2,0.4
query_023,1.104,81,83,79,80,80,82,73,81,76,84,79.9,3.112876483254676
query_024,1.148,98,92,97,93,98,97,97,98,97,98,96.5,2.0615528128088303
query_025,0.903,88,82,82,88,84,56,87,71,81,90,80.9,9.751410154434076
query_026,0.924,88,95,93,92,93,94,94,94,95,93,93.1,1.9209372712298545
query_027,1.178,95,99,97,98,99,76,97,99,89,92,94.1,6.80367547726962
query_028,1.062,88,87,88,88,89,87,89,87,87,88,87.8,0.7483314773547882
query_029,1.29,99,95,100,96,99,99,99,99,98,99,98.3,1.4866068747318506
query_030,0.977,80,96,89,92,80,96,95,93,94,86,90.1,5.855766388782941
query_031,0.861,62,76,78,59,73,73,75,78,75,77,72.6,6.311893535223801
query_032,1.1,99,100,99,98,95,98,99,99,98,99,98.4,1.2806248474865698
query_033,1.096,99,99,99,99,99,99,99,99,99,99,99.0,0.0
query_034,1.09,65,65,87,72,66,66,66,65,65,65,68.2,6.584831053261731
query_035,0.5,43,67,66,73,61,73,72,68,66,64,65.3,8.319254774317228
query_036,1.066,92,92,92,92,92,92,92,92,92,92,92.0,0.0
query_037,0.818,75,60,58,59,58,62,61,59,60,59,61.1,4.784349485562274
query_038,1.012,97,97,95,96,97,96,95,96,94,97,96.0,1.0
query_039,0.888,33,32,35,35,35,14,35,32,35,35,32.1,6.155485358604957
