Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.188,97,97,98,97,97,98,98,98,99,97,97.6,0.6633249580710799
query_002,0.927,73,71,75,72,71,73,72,72,71,72,72.2,1.16619037896906
query_003,1.095,88,90,89,91,90,90,91,88,90,90,89.7,1.004987562112089
query_004,1.136,56,56,45,45,59,44,58,59,58,46,52.6,6.296030495478877
query_005,1.14,81,82,81,81,81,79,81,81,81,81,80.9,0.7000000000000001
query_006,0.997,59,60,57,67,56,55,50,59,63,52,57.8,4.749736834815167
query_007,1.173,54,54,54,46,53,54,54,53,53,53,52.8,2.315167380558045
query_008,1.136,65,65,65,65,65,65,65,65,65,65,65.0,0.0
query_009,0.972,98,97,98,98,99,98,98,99,98,98,98.1,0.5385164807134505
query_010,1.024,90,90,90,90,90,90,90,90,90,90,90.0,0.0
query_011,1.263,99,97,98,98,98,99,98,99,97,98,98.1,0.7000000000000001
query_012,0.978,29,28,29,29,29,29,29,29,29,29,28.9,0.3
query_013,0.912,20,72,72,72,75,72,73,30,71,72,62.9,19.10732843701599
query_014,0.857,64,67,66,64,63,62,67,65,64,69,65.1,2.0223748416156684
query_015,1.143,20,80,20,80,20,20,21,20,20,20,32.1,23.95182665267933
query_016,1.279,99,99,100,99,99,100,99,98,100,99,99.2,0.6
query_017,1.074,58,57,60,50,60,64,48,60,62,61,58.0,4.878524367060187
query_018,1.175,92,93,93,98,93,93,93,96,93,93,93.7,1.7349351572897473
query_019,1.201,97,96,96,97,96,97,97,97,96,97,96.6,0.4898979485566356
query_020,1.098,54,50,75,50,85,49,50,60,49,48,57.0,12.17374223482656
query_021,1.259,99,100,100,99,100,98,100,100,99,100,99.5,0.6708203932499369
query_022,1.243,99,100,100,98,100,100,99,99,98,99,99.2,0.7483314773547882
query_023,1.104,81,81,82,82,83,81,81,81,81,81,81.4,0.66332495807108
query_024,1.148,98,98,98,98,98,99,97,98,98,98,98.0,0.4472135954999579
query_025,0.903,85,72,67,71,73,81,87,79,67,86,76.8,7.35934779718964
query_026,0.924,72,58,47,83,72,87,72,77,75,68,71.1,10.994998863119541
query_027,1.178,72,83,67,66,78,92,59,65,41,80,70.3,13.535508856337836
query_028,1.062,86,88,87,88,87,88,89,88,87,88,87.6,0.8
query_029,1.29,97,92,99,99,98,91,98,92,99,91,95.6,3.4117444218463957
query_030,0.977,71,87,87,91,93,73,69,68,69,96,80.4,10.762899237658969
query_031,0.861,79,79,77,79,79,77,78,79,79,75,78.1,1.3
query_032,1.1,100,100,99,98,99,99,99,99,98,99,99.0,0.6324555320336759
query_033,1.096,99,99,100,99,99,99,99,99,98,100,99.1,0.5385164807134505
query_034,1.09,66,65,66,66,66,65,65,64,66,64,65.3,0.7810249675906654
query_035,0.5,59,68,66,56,71,70,65,61,71,64,65.1,4.90815647672321
query_036,1.066,92,92,92,92,92,92,91,92,91,91,91.7,0.45825756949558405
query_037,0.818,60,60,60,60,60,60,60,60,60,60,60.0,0.0
query_038,1.012,88,89,86,88,90,91,87,86,90,91,88.6,1.8
query_039,0.888,36,35,31,32,33,34,34,32,35,34,33.6,1.4966629547095767
query_040,0.918,80,84,80,80,83,82,81,85,80,80,81.5,1.8027756377319946
query_041,1.167,96,97,99,97,95,94,98,100,98,99,97.3,1.7916472867168918
query_042,1.161,98,99,98,98,99,98,98,99,98,98,98.3,0.45825756949558394
query_043,1.022,60,73,60,60,82,60,61,61,63,63,64.3,6.986415389883427
query_044,1.06,96,98,99,99,99,98,99,98,99,98,98.3,0.9
query_045,1.2,93,93,93,93,93,93,93,93,93,93,93.0,0.0
query_046,1.274,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_047,0.977,29,31,26,31,28,18,24,29,30,31,27.7,3.9
query_048,1.194,97,99,100,100,100,100,99,100,100,99,99.4,0.9165151389911679
query_049,1.238,97,99,98,99,98,99,98,98,98,99,98.3,0.6403124237432849
query_050,1.084,34,99,99,38,98,39,98,43,97,40,68.5,29.77666871898198
query_051,1.092,97,97,95,97,97,97,97,96,97,97,96.7,0.6403124237432849
query_052,1.035,78,79,79,79,79,79,78,79,78,79,78.7,0.45825756949558394
query_053,1.06,97,97,78,27,80,96,94,19,40,84,71.2,28.992412800593193
query_054,1.142,92,91,71,85,91,89,92,86,91,94,88.2,6.305553108173779
query_055,1.115,59,57,61,61,61,60,60,62,61,62,60.4,1.42828568570857
query_056,1.01,97,98,98,98,98,97,96,98,98,98,97.6,0.66332495807108
query_057,0.868,87,85,84,85,68,86,84,53,86,85,80.3,10.488565202161828
query_058,0.933,89,90,87,89,88,90,89,87,89,90,88.8,1.0770329614269007
query_059,1.126,94,92,92,94,93,94,94,94,94,94,93.5,0.806225774829855
query_060,1.465,99,99,99,97,98,98,99,100,97,98,98.4,0.9165151389911679
query_061,1.365,35,33,33,67,66,69,67,33,68,67,53.8,16.599999999999998
query_062,0.935,95,92,95,97,95,97,94,93,90,99,94.7,2.4919871588754225
query_063,1.138,92,93,91,90,89,90,92,91,91,90,90.9,1.1357816691600546
query_064,0.95,81,79,83,80,91,72,79,78,84,76,80.3,4.817675788178362
query_065,1.146,22,22,22,24,23,21,21,21,23,22,22.1,0.9433981132056604
query_066,1.196,79,79,79,76,79,78,72,78,79,79,77.8,2.1354156504062622
query_067,1.098,99,98,99,99,99,99,99,99,98,100,98.9,0.5385164807134505
query_068,1.189,94,94,94,93,94,94,94,94,94,93,93.8,0.4
query_069,1.247,98,97,0,94,97,97,96,97,98,0,77.4,38.714855030078574
query_070,1.133,75,78,78,78,71,78,78,78,78,78,77.0,2.1908902300206643
query_071,1.241,69,70,66,69,70,69,69,68,68,63,68.1,2.0223748416156684
query_072,1.101,98,94,95,96,96,98,96,95,97,96,96.1,1.2206555615733703
query_073,1.076,81,35,40,82,82,84,81,80,16,10,59.1,28.77307769426135
query_074,1.158,76,74,87,74,74,80,73,75,74,78,76.5,4.05585995813465
query_075,1.023,94,91,92,94,96,95,92,94,92,92,93.2,1.5362291495737217
query_076,1.068,90,91,91,89,89,89,88,88,89,88,89.2,1.0770329614269007
query_077,1.009,81,81,76,81,86,55,83,88,88,81,80.0,9.044335243676011
query_078,0.81,68,71,70,69,68,68,70,77,74,70,70.5,2.7658633371878665
query_079,0.904,7,82,7,7,7,7,7,7,7,7,14.5,22.5
query_080,0.84,87,83,84,84,78,87,83,83,84,84,83.7,2.368543856465402
query_081,1.132,96,96,96,96,95,96,96,96,96,96,95.9,0.30000000000000004
query_082,1.271,100,100,100,100,100,99,100,100,100,100,99.9,0.30000000000000004
query_083,1.046,78,78,78,78,78,78,78,77,78,78,77.9,0.30000000000000004
query_084,1.1,93,96,93,96,93,97,97,96,95,94,95.0,1.5491933384829668
query_085,1.422,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_086,1.016,94,91,94,89,92,94,95,95,97,93,93.4,2.1540659228538015
query_087,0.936,83,81,87,85,83,84,82,79,86,96,84.6,4.409081537009721
query_088,1.282,96,99,95,94,99,99,96,96,99,94,96.7,2.0024984394500787
query_089,0.928,89,90,95,62,95,67,81,66,75,74,79.4,11.740528097151337
query_090,1.196,46,45,46,44,46,46,46,46,46,46,45.7,0.6403124237432849
query_091,1.012,5,6,2,3,4,2,3,2,3,3,3.3,1.2688577540449522
query_092,1.289,99,98,98,98,98,98,97,97,99,98,98.0,0.6324555320336759
query_093,0.924,94,82,95,95,97,96,82,95,94,90,92.0,5.291502622129181
query_094,1.092,47,57,54,48,54,51,49,55,61,57,53.3,4.267317658670374
query_095,1.024,97,99,97,98,98,97,97,98,98,98,97.7,0.6403124237432849
query_096,1.239,82,80,78,78,78,86,78,84,79,80,80.3,2.6851443164195103
query_097,0.98,45,42,35,38,34,33,36,31,37,35,36.6,3.97994974842648
query_098,1.092,93,83,85,80,91,83,86,90,84,86,86.1,3.858756276314947
query_099,1.117,84,84,88,87,84,88,86,88,85,84,85.8,1.7204650534085253
query_100,1.105,80,81,82,85,82,78,80,87,80,81,81.6,2.4979991993593593
query_101,1.197,78,86,82,71,81,76,78,74,79,79,78.4,3.9799497484264794
query_102,1.033,99,98,99,98,98,99,98,98,98,99,98.4,0.4898979485566356
query_103,1.018,83,83,78,83,83,83,83,83,83,82,82.4,1.4966629547095762
query_104,1.033,87,78,84,85,86,90,84,87,87,85,85.3,2.968164415931166
query_105,1.136,99,98,99,99,100,99,99,98,99,99,98.9,0.5385164807134505
query_106,1.089,85,89,87,86,87,84,87,84,86,86,86.1,1.445683229480096
query_107,0.995,98,99,97,98,99,98,99,98,99,98,98.3,0.6403124237432849
query_108,0.958,73,68,64,64,70,63,65,70,72,64,67.3,3.551056180912941
query_109,1.156,100,100,100,99,100,100,100,100,100,100,99.9,0.30000000000000004
