Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.067,99,99,96,98,99,98,98,98,97,98,98.0,0.8944271909999159
query_002,0.864,55,51,49,54,46,59,47,47,48,61,51.7,5.040833264451424
query_003,0.968,92,93,95,95,92,93,94,92,94,93,93.3,1.0999999999999999
query_004,1.029,98,100,93,99,93,95,98,99,99,92,96.6,2.8705400188814645
query_005,0.918,96,96,96,96,97,97,97,97,97,97,96.6,0.4898979485566356
query_006,1.019,98,99,94,98,99,98,98,98,94,98,97.4,1.7435595774162693
query_007,1.03,94,95,92,92,94,91,92,93,93,92,92.8,1.16619037896906
query_008,1.108,99,98,100,99,99,98,98,99,98,98,98.6,0.66332495807108
query_009,0.904,95,98,91,98,98,93,91,97,91,97,94.9,2.947880594596735
query_010,0.925,98,98,97,97,98,97,97,97,97,98,97.4,0.4898979485566356
query_011,1.016,98,98,97,98,99,97,97,98,96,98,97.6,0.8
query_012,0.966,94,97,99,99,92,95,99,95,99,98,96.7,2.4103941586387903
query_013,0.772,92,93,92,92,86,88,90,86,87,91,89.7,2.5709920264364885
query_014,0.858,37,42,34,33,42,27,31,30,28,31,33.5,5.044799302251775
query_015,0.981,91,90,87,87,88,98,87,91,86,86,89.1,3.477067730142742
query_016,1.063,83,85,81,88,86,88,84,88,88,89,86.0,2.5298221281347035
query_017,0.928,93,93,97,93,95,93,92,93,93,99,94.1,2.118962010041709
query_018,0.942,98,97,97,98,98,90,98,97,97,97,96.7,2.2825424421026654
query_019,0.915,88,86,85,88,90,85,86,85,87,90,87.0,1.8439088914585775
query_020,1.06,91,93,91,88,92,93,91,90,93,96,91.8,2.039607805437114
query_021,0.985,96,96,96,96,96,97,96,96,95,96,96.0,0.4472135954999579
query_022,0.939,97,100,100,99,99,97,98,99,98,99,98.6,1.0198039027185568
query_023,1.002,91,88,91,89,88,91,88,91,93,87,89.7,1.8466185312619385
query_024,0.912,99,93,99,98,97,99,94,96,94,98,96.7,2.1931712199461306
query_025,0.833,57,83,82,80,83,68,58,60,79,80,73.0,10.44030650891055
query_026,0.809,70,54,54,51,63,66,54,69,78,62,62.1,8.360023923410745
query_027,1.025,98,99,99,99,99,100,99,99,99,99,99.0,0.4472135954999579
query_028,0.926,91,94,90,72,70,71,71,84,71,88,80.2,9.505787710652916
query_029,1.031,99,99,99,99,99,99,99,100,99,99,99.1,0.30000000000000004
query_030,0.904,77,78,70,77,82,74,71,78,74,84,76.5,4.201190307520001
query_031,0.853,86,88,91,89,79,91,90,92,85,90,88.1,3.7
query_032,0.889,97,97,98,100,92,90,92,100,97,96,95.9,3.269556544854363
query_033,0.958,72,49,56,49,47,58,52,43,58,55,53.9,7.647875521999559
query_034,0.933,91,96,92,94,93,96,94,98,96,93,94.3,2.051828452868319
query_035,0.407,84,81,72,84,77,80,81,78,77,80,79.4,3.411744421846396
query_036,0.922,95,95,97,95,97,95,97,95,92,97,95.5,1.5
query_037,0.807,93,91,87,92,89,93,90,91,88,91,90.5,1.91049731745428
query_038,0.875,77,80,17,80,81,80,87,80,78,77,73.7,19.08952592391964
query_039,0.836,50,48,49,48,47,46,44,54,52,52,49.0,2.898275349237888
query_040,0.868,90,88,89,89,90,88,92,89,89,90,89.4,1.1135528725660042
query_041,1.015,96,96,98,97,96,97,95,95,95,95,96.0,1.0
query_042,0.904,96,95,97,93,94,97,97,95,94,97,95.5,1.4317821063276353
query_043,0.865,84,85,86,83,84,83,83,84,84,84,84.0,0.8944271909999159
query_044,0.947,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_045,1.077,92,91,92,93,92,91,92,90,91,66,89.0,7.707139547199077
query_046,1.052,65,64,77,67,66,66,69,66,65,61,66.6,3.97994974842648
query_047,0.879,93,95,91,89,86,90,94,73,89,89,88.9,5.8898217290508885
query_048,1.012,97,90,83,99,94,97,97,93,88,96,93.4,4.758150901348127
query_049,0.978,80,96,92,95,98,87,94,97,98,81,91.8,6.446704584514478
query_050,1.067,99,99,99,99,99,100,99,99,99,99,99.1,0.30000000000000004
query_051,1.014,40,58,59,56,58,74,54,58,58,55,57.0,7.745966692414834
query_052,1.112,91,92,96,92,91,91,91,93,91,98,92.6,2.33238075793812
query_053,1.006,99,100,100,99,99,99,100,100,100,99,99.5,0.5
query_054,1.096,96,97,97,97,97,98,99,99,97,98,97.5,0.9219544457292888
query_055,1.03,97,97,96,97,97,97,92,97,94,96,96.0,1.61245154965971
query_056,0.707,48,55,50,49,55,48,45,49,52,49,50.0,3.0
query_057,0.746,94,92,86,93,87,91,94,91,92,90,91.0,2.569046515733026
query_058,0.721,95,95,94,95,94,95,94,95,95,94,94.6,0.4898979485566356
query_059,1.09,99,99,99,100,99,99,99,99,99,99,99.1,0.30000000000000004
query_060,0.996,100,96,97,98,98,97,99,99,95,98,97.7,1.4177446878757824
query_061,0.933,87,89,91,81,94,97,85,98,89,83,89.4,5.40740233383831
query_062,0.812,92,92,90,93,91,92,92,91,92,91,91.6,0.8
query_063,0.972,98,98,99,98,98,98,97,99,97,99,98.1,0.7000000000000001
query_064,0.867,76,75,81,71,72,63,76,80,72,65,73.1,5.52177507691141
query_065,0.996,91,84,92,92,91,87,92,92,93,90,90.4,2.65329983228432
query_066,1.138,95,96,95,96,95,96,96,95,96,95,95.5,0.5
query_067,0.882,88,91,87,93,92,93,93,96,93,95,92.1,2.662705391138869
query_068,1.007,93,93,94,93,93,92,95,93,92,93,93.1,0.8306623862918076
query_069,1.205,81,91,88,85,88,91,89,88,88,87,87.6,2.764054992217051
query_070,1.072,96,95,96,98,98,95,95,96,96,97,96.2,1.0770329614269007
query_071,1.225,99,100,100,99,99,100,99,100,99,99,99.4,0.4898979485566356
query_072,0.917,98,98,100,100,100,98,100,98,99,98,98.9,0.9433981132056604
query_073,1.057,98,96,93,98,95,97,98,96,97,98,96.6,1.5620499351813306
query_074,1.187,92,87,88,87,90,95,88,90,94,90,90.1,2.662705391138869
query_075,1.09,99,100,99,99,100,99,99,100,100,99,99.4,0.4898979485566356
query_076,0.878,86,86,85,85,81,87,83,83,86,85,84.7,1.7349351572897473
query_077,0.959,69,100,100,100,98,98,100,100,100,99,96.4,9.16733330909267
query_078,0.823,91,91,93,76,87,93,79,95,81,76,86.2,7.096477999684069
query_079,0.78,50,76,89,59,50,51,53,90,92,92,70.2,18.263625050903777
query_080,0.733,64,70,69,70,71,71,70,86,60,66,69.7,6.4039050586341455
query_081,1.077,0,0,0,0,0,99,0,0,0,0,9.9,29.7
query_082,0.994,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_083,0.926,96,95,95,94,92,92,95,94,93,95,94.1,1.3
query_084,0.831,91,91,85,89,89,89,87,85,88,86,88.0,2.0976176963403033
query_085,1.122,90,93,90,91,90,91,91,91,90,90,90.7,0.9
query_086,0.89,58,58,60,58,58,61,59,74,57,61,60.4,4.715930449020639
query_087,0.914,84,100,100,99,100,99,99,99,99,99,97.8,4.621688003316537
query_088,1.077,100,99,99,100,99,100,100,99,100,100,99.6,0.4898979485566356
query_089,0.75,68,78,62,77,71,81,65,77,83,66,72.8,6.954135460285484
query_090,1.038,78,81,82,81,77,79,78,80,78,79,79.3,1.5524174696260025
query_091,0.784,84,74,74,77,78,83,77,73,81,83,78.4,3.903844259188627
query_092,1.073,97,97,98,95,97,93,96,92,92,94,95.1,2.118962010041709
query_093,0.756,90,86,85,89,87,85,81,82,83,86,85.4,2.727636339397171
query_094,1.004,93,93,98,96,93,92,94,96,93,93,94.1,1.8138357147217055
query_095,0.839,98,96,98,98,99,95,94,98,99,98,97.3,1.6155494421403511
query_096,1.025,97,96,96,95,88,92,96,95,91,85,93.1,3.8065732621348563
query_097,0.884,95,94,97,97,97,96,97,97,97,97,96.4,1.0198039027185568
query_098,1.003,97,97,98,94,97,98,96,97,99,97,97.0,1.2649110640673518
query_099,1.227,99,99,99,99,99,99,100,99,99,99,99.1,0.30000000000000004
query_100,0.993,75,82,94,89,87,71,87,77,90,90,84.2,7.19444229944198
query_101,1.073,98,98,98,98,98,98,98,98,97,98,97.9,0.30000000000000004
query_102,0.902,89,85,87,89,86,89,87,87,88,88,87.5,1.284523257866513
query_103,0.928,91,91,88,92,91,91,94,92,89,94,91.3,1.7916472867168916
query_104,0.919,97,94,93,96,92,78,97,97,96,97,93.7,5.514526271584895
query_105,0.951,97,99,99,98,99,99,97,99,99,98,98.4,0.8
query_106,1.169,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_107,0.892,81,82,83,79,82,79,82,84,82,81,81.5,1.5
query_108,0.873,96,98,97,96,93,96,98,97,96,97,96.4,1.3564659966250536
query_109,0.931,95,95,95,95,95,95,95,95,95,95,95.0,0.0
