Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.067,97,98,99,98,99,99,98,98,98,98,98.2,0.6
query_002,0.864,51,48,20,44,47,45,43,47,43,20,40.8,10.656453443805777
query_003,0.968,95,96,94,97,95,95,96,96,95,95,95.4,0.8
query_004,1.029,12,12,12,14,12,12,12,12,12,12,12.2,0.6
query_005,0.918,97,96,98,95,98,96,97,97,97,97,96.8,0.8717797887081347
query_006,1.019,98,98,98,97,98,98,98,98,98,98,97.9,0.30000000000000004
query_007,1.03,94,94,93,96,94,93,93,93,94,94,93.8,0.8717797887081347
query_008,1.108,99,99,99,98,98,98,98,99,98,98,98.4,0.4898979485566356
query_009,0.904,93,92,91,91,97,91,91,90,94,91,92.1,1.9723082923316018
query_010,0.925,100,99,99,99,98,100,100,99,100,99,99.3,0.6403124237432849
query_011,1.016,100,99,99,99,100,99,99,99,99,99,99.2,0.4
query_012,0.966,96,99,95,95,96,95,95,96,95,95,95.7,1.1874342087037917
query_013,0.772,92,94,93,95,95,95,95,94,94,95,94.2,0.9797958971132711
query_014,0.858,22,19,24,22,21,24,23,21,22,23,22.1,1.445683229480096
query_015,0.981,93,93,91,92,92,89,94,92,93,92,92.1,1.3
query_016,1.063,79,78,79,78,79,77,77,80,81,80,78.8,1.2489995996796797
query_017,0.928,93,93,93,93,93,93,93,93,93,94,93.1,0.3
query_018,0.942,98,98,98,98,99,98,98,99,100,97,98.3,0.7810249675906654
query_019,0.915,61,58,57,74,60,54,60,61,65,62,61.2,5.1146847410177685
query_020,1.06,92,92,93,95,92,94,92,91,93,91,92.5,1.2041594578792296
query_021,0.985,96,95,96,96,96,95,96,97,96,98,96.1,0.8306623862918076
query_022,0.939,99,99,100,97,100,100,98,99,100,97,98.9,1.1357816691600546
query_023,1.002,92,93,93,93,89,94,93,94,92,92,92.5,1.3601470508735443
query_024,0.912,98,98,98,99,98,98,98,99,98,98,98.2,0.4
query_025,0.833,32,33,34,32,33,32,35,42,32,33,33.8,2.8913664589601926
query_026,0.809,71,58,66,62,59,60,61,62,70,69,63.8,4.556314299957807
query_027,1.025,99,99,99,100,99,99,99,99,99,99,99.1,0.30000000000000004
query_028,0.926,92,91,90,90,91,89,89,91,90,91,90.4,0.9165151389911679
query_029,1.031,97,97,97,98,95,97,97,98,98,98,97.2,0.8717797887081347
query_030,0.904,69,72,74,69,65,68,65,65,73,70,69.0,3.1622776601683795
query_031,0.853,83,81,85,81,80,83,81,79,82,82,81.7,1.6155494421403513
query_032,0.889,90,91,89,84,89,88,91,89,86,84,88.1,2.467792535850613
query_033,0.958,59,57,61,61,64,62,66,58,63,63,61.4,2.65329983228432
query_034,0.933,94,95,93,94,93,94,94,95,96,95,94.3,0.9
query_035,0.407,81,83,80,81,84,80,78,84,84,81,81.6,1.9595917942265422
query_036,0.922,98,98,96,99,98,98,98,97,98,98,97.8,0.7483314773547881
query_037,0.807,95,95,93,96,95,95,96,95,95,96,95.1,0.8306623862918076
query_038,0.875,90,92,87,87,90,90,89,88,86,87,88.6,1.8
query_039,0.836,48,49,48,47,48,48,48,49,48,48,48.1,0.5385164807134504
query_040,0.868,91,89,91,91,89,89,91,91,89,91,90.2,0.9797958971132712
query_041,1.015,95,97,95,95,95,96,96,97,96,96,95.8,0.7483314773547882
query_042,0.904,96,96,96,97,98,98,96,96,96,97,96.6,0.8
query_043,0.865,82,84,82,84,83,84,84,84,83,83,83.3,0.7810249675906654
query_044,0.947,99,100,99,100,100,100,100,100,100,100,99.8,0.4
query_045,1.077,92,93,93,93,93,93,93,93,92,93,92.8,0.4
query_046,1.052,64,65,66,66,66,66,64,65,64,66,65.2,0.8717797887081347
query_047,0.879,94,93,93,94,94,94,92,93,93,93,93.3,0.6403124237432849
query_048,1.012,93,96,92,93,93,94,94,91,94,88,92.8,2.039607805437114
query_049,0.978,97,97,94,99,98,96,95,97,97,97,96.7,1.3453624047073711
query_050,1.067,100,99,99,99,99,99,99,99,99,99,99.1,0.30000000000000004
query_051,1.014,51,51,52,51,50,50,50,54,50,50,50.9,1.2206555615733703
query_052,1.112,94,96,96,96,92,93,95,95,96,99,95.2,1.8330302779823362
query_053,1.006,99,100,100,100,99,100,100,100,100,100,99.8,0.4
query_054,1.096,96,98,97,99,97,98,97,98,99,97,97.6,0.9165151389911679
query_055,1.03,96,96,96,95,92,95,96,94,95,92,94.7,1.4866068747318506
query_056,0.707,42,43,39,42,39,40,39,40,41,41,40.6,1.3564659966250538
query_057,0.746,93,93,93,94,93,92,93,93,94,94,93.2,0.6
query_058,0.721,95,96,94,95,95,94,94,96,96,94,94.9,0.8306623862918076
query_059,1.09,99,99,98,98,99,99,99,95,98,99,98.3,1.1874342087037917
query_060,0.996,100,100,99,99,99,99,99,99,99,99,99.2,0.4
query_061,0.933,69,70,70,69,70,69,67,70,69,70,69.3,0.9
query_062,0.812,85,84,86,85,85,84,85,85,84,85,84.8,0.6
query_063,0.972,97,98,97,97,97,97,97,97,97,96,97.0,0.4472135954999579
query_064,0.867,74,67,75,70,69,67,71,69,71,76,70.9,3.014962686336267
query_065,0.996,78,80,80,80,81,83,83,80,78,89,81.2,3.059411708155671
query_066,1.138,93,93,90,88,91,93,94,90,94,89,91.5,2.0615528128088303
query_067,0.882,95,96,95,94,95,95,94,95,94,95,94.8,0.6
query_068,1.007,94,93,94,93,93,93,94,93,94,94,93.5,0.5
query_069,1.205,87,88,88,89,89,88,89,88,88,87,88.1,0.7000000000000001
query_070,1.072,97,98,97,98,98,99,98,97,97,97,97.6,0.66332495807108
query_071,1.225,99,99,100,100,100,99,99,99,99,99,99.3,0.45825756949558394
query_072,0.917,91,91,92,91,92,91,91,91,91,88,90.9,1.0440306508910548
query_073,1.057,97,96,98,96,95,96,98,97,97,96,96.6,0.9165151389911679
query_074,1.187,92,92,92,92,92,92,91,91,92,93,91.9,0.5385164807134505
query_075,1.09,100,99,99,99,100,99,100,100,98,100,99.4,0.6633249580710799
query_076,0.878,78,74,78,82,78,82,75,80,76,78,78.1,2.5475478405713994
query_077,0.959,6,2,3,3,3,3,2,2,2,3,2.9,1.1357816691600549
query_078,0.823,67,68,66,58,62,62,63,61,63,64,63.4,2.8354893757515653
query_079,0.78,91,92,89,81,90,88,85,92,89,90,88.7,3.2264531609803355
query_080,0.733,67,71,65,64,69,66,68,63,62,70,66.5,2.8722813232690143
query_081,1.077,0,98,0,0,0,0,0,0,0,0,9.8,29.400000000000006
query_082,0.994,100,100,100,100,100,100,100,99,100,100,99.9,0.30000000000000004
query_083,0.926,96,97,96,95,96,96,97,96,97,96,96.2,0.6
query_084,0.831,94,95,91,93,91,93,92,94,92,92,92.7,1.268857754044952
query_085,1.122,89,90,90,90,90,90,89,90,90,90,89.8,0.4
query_086,0.89,58,58,58,58,58,58,57,57,58,58,57.8,0.4
query_087,0.914,100,100,100,100,99,99,99,99,98,99,99.3,0.6403124237432849
query_088,1.077,99,100,99,99,100,99,99,99,99,99,99.2,0.4
query_089,0.75,57,59,66,57,62,54,59,65,58,62,59.9,3.590264614203248
query_090,1.038,74,80,83,72,74,75,74,77,81,69,75.9,4.109744517606903
query_091,0.784,85,83,85,90,85,86,88,87,82,83,85.4,2.33238075793812
query_092,1.073,79,94,83,81,78,85,81,90,95,82,84.8,5.793099343184096
query_093,0.756,81,87,88,84,89,79,87,85,83,86,84.9,3.014962686336267
query_094,1.004,94,94,94,92,94,95,92,93,95,94,93.7,1.004987562112089
query_095,0.839,96,98,99,97,98,98,95,97,99,96,97.3,1.268857754044952
query_096,1.025,95,90,95,94,92,93,92,91,94,92,92.8,1.6
query_097,0.884,97,97,97,96,97,97,96,97,96,96,96.6,0.4898979485566356
query_098,1.003,96,94,97,93,97,97,96,97,97,93,95.7,1.6155494421403513
query_099,1.227,100,99,99,99,99,99,99,99,99,99,99.1,0.30000000000000004
query_100,0.993,66,62,61,62,63,61,64,61,61,63,62.4,1.5620499351813308
query_101,1.073,98,99,97,96,98,98,97,98,97,97,97.5,0.806225774829855
query_102,0.902,89,88,87,88,85,88,84,88,89,87,87.3,1.5524174696260022
query_103,0.928,91,92,90,90,92,91,89,91,90,91,90.7,0.9
query_104,0.919,92,93,95,96,95,96,95,96,96,96,95.0,1.3416407864998738
query_105,0.951,99,98,99,99,99,99,99,99,98,99,98.8,0.4
query_106,1.169,100,99,100,100,100,100,99,100,100,100,99.8,0.4
query_107,0.892,71,72,73,81,69,76,71,73,73,71,73.0,3.1937438845342623
query_108,0.873,97,97,96,96,97,97,96,96,97,95,96.4,0.66332495807108
query_109,0.931,96,96,96,96,96,96,96,96,95,96,95.9,0.30000000000000004
