Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.984,100,98,100,100,100,89,100,89,100,96,97.2,4.28485705712571
query_002,0.955,84,81,78,81,84,85,81,81,83,85,82.3,2.1470910553583886
query_003,1.024,98,98,98,98,98,98,98,98,98,98,98.0,0.0
query_004,1.067,97,97,97,98,97,97,96,98,97,97,97.1,0.5385164807134505
query_005,0.871,89,89,89,89,89,90,89,89,89,89,89.1,0.30000000000000004
query_006,0.904,99,99,99,99,99,99,99,99,99,99,99.0,0.0
query_007,1.142,98,98,98,98,98,98,98,98,98,98,98.0,0.0
query_008,1.035,88,82,88,85,93,88,87,87,87,88,87.3,2.609597670139978
query_009,0.888,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_010,0.859,95,95,95,94,95,95,94,96,94,94,94.7,0.6403124237432849
query_011,0.991,96,44,94,44,96,35,44,96,96,44,68.9,26.827038599144707
query_012,0.95,95,97,98,99,100,98,100,98,94,100,97.9,1.972308292331602
query_013,0.841,99,99,95,97,99,97,94,97,96,99,97.2,1.7204650534085253
query_014,0.792,91,93,93,95,86,92,87,93,89,95,91.4,2.973213749463701
query_015,1.127,98,97,98,99,97,98,99,97,98,98,97.9,0.7000000000000001
query_016,1.066,99,99,99,100,100,99,99,99,99,98,99.1,0.5385164807134505
query_017,0.985,71,71,71,71,59,71,71,71,71,71,69.8,3.6
query_018,0.949,88,88,87,90,87,89,91,91,92,91,89.4,1.7435595774162693
query_019,0.958,89,87,87,87,68,56,67,88,87,87,80.3,11.30530848760882
query_020,1.006,99,99,99,99,100,99,99,100,99,100,99.3,0.45825756949558405
query_021,1.06,96,97,97,94,97,95,94,97,96,96,95.9,1.1357816691600546
query_022,0.911,98,95,99,98,99,98,98,98,98,99,98.0,1.0954451150103321
query_023,1.127,98,98,97,97,99,98,97,97,97,97,97.5,0.6708203932499369
query_024,0.896,97,96,97,96,98,98,96,97,97,97,96.9,0.7000000000000001
query_025,0.817,88,85,87,91,85,85,91,90,89,90,88.1,2.3430749027719964
query_026,0.838,85,87,85,88,82,79,94,89,63,85,83.7,7.887331614684398
query_027,1.094,100,99,99,99,99,99,99,99,99,99,99.1,0.30000000000000004
query_028,0.987,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_029,1.028,89,93,89,89,89,89,89,89,89,89,89.4,1.2
query_030,0.975,90,87,92,88,90,84,91,96,91,88,89.7,3.0675723300355937
query_031,0.766,77,77,77,77,77,77,77,77,77,77,77.0,0.0
query_032,0.802,87,92,73,99,94,99,99,98,98,93,93.2,7.717512552629895
query_033,1.026,98,99,99,98,98,98,98,98,98,96,98.0,0.7745966692414834
query_034,0.957,86,90,88,84,90,93,84,86,88,88,87.7,2.685144316419511
query_035,0.445,99,100,99,100,99,95,100,97,99,99,98.7,1.4866068747318506
query_036,1.006,98,98,96,97,97,96,97,98,96,98,97.1,0.8306623862918076
query_037,0.712,19,58,28,18,12,59,12,12,30,21,26.9,16.884608375677537
query_038,0.902,10,89,89,10,10,10,10,10,10,89,33.7,36.20234799015114
query_039,0.831,67,66,66,66,66,66,66,66,66,94,68.9,8.371977066380438
query_040,0.862,41,73,54,52,69,55,88,88,72,80,67.2,15.263027222671132
query_041,0.945,99,100,100,70,100,100,100,70,100,100,93.9,11.953660527219267
query_042,1.063,97,96,97,97,97,98,97,96,97,96,96.8,0.6
query_043,0.857,92,94,92,92,90,91,94,91,95,96,92.7,1.8466185312619385
