Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.984,100,99,100,98,100,100,100,100,100,100,99.7,0.6403124237432849
query_002,0.955,82,82,82,81,81,82,82,80,81,82,81.5,0.6708203932499369
query_003,1.024,98,98,98,98,98,98,98,98,98,98,98.0,0.0
query_004,1.067,99,96,97,96,96,98,97,98,96,97,97.0,1.0
query_005,0.871,84,80,79,86,81,80,83,86,81,86,82.6,2.6153393661244038
query_006,0.904,99,99,98,99,99,99,99,99,98,99,98.8,0.4
query_007,1.142,97,98,97,98,98,98,98,98,98,98,97.8,0.4
query_008,1.035,13,89,79,76,92,78,82,80,12,90,69.1,28.766125912260065
query_009,0.888,100,100,100,100,100,100,99,100,100,99,99.8,0.4
query_010,0.859,95,96,95,96,96,95,95,94,93,95,95.0,0.8944271909999159
query_011,0.991,44,44,51,46,44,54,45,44,46,96,51.4,15.21315220458929
query_012,0.95,98,98,100,99,98,99,99,98,99,99,98.7,0.6403124237432849
query_013,0.841,97,97,94,95,98,97,97,98,95,96,96.4,1.2806248474865698
query_014,0.792,86,85,84,85,85,83,84,86,84,85,84.7,0.9
query_015,1.127,97,98,99,97,97,98,97,97,98,99,97.7,0.7810249675906654
query_016,1.066,94,95,95,94,96,96,67,95,94,67,89.3,11.171839597846006
query_017,0.985,71,71,71,71,71,71,71,71,71,71,71.0,0.0
query_018,0.949,97,93,96,97,94,95,97,95,95,95,95.4,1.2806248474865698
query_019,0.958,65,87,87,86,88,67,86,90,79,73,80.8,8.784076502399099
query_020,1.006,99,100,99,99,98,100,98,99,98,99,98.9,0.7000000000000001
query_021,1.06,97,96,96,96,97,96,96,95,96,96,96.1,0.5385164807134505
query_022,0.911,98,98,98,98,99,98,99,98,98,98,98.2,0.4
query_023,1.127,97,98,98,98,98,97,97,97,97,97,97.4,0.4898979485566356
query_024,0.896,98,96,98,96,97,97,97,96,98,97,97.0,0.7745966692414834
query_025,0.817,92,92,92,92,92,92,92,92,92,92,92.0,0.0
query_026,0.838,81,81,82,80,81,81,81,81,81,82,81.1,0.5385164807134505
query_027,1.094,99,98,99,98,99,99,98,99,99,99,98.7,0.45825756949558394
query_028,0.987,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_029,1.028,88,89,89,88,88,89,89,89,89,89,88.7,0.45825756949558394
query_030,0.975,95,96,96,96,95,95,96,95,96,96,95.6,0.4898979485566356
query_031,0.766,78,77,80,78,76,87,85,83,85,78,80.7,3.7429934544425802
query_032,0.802,93,91,97,99,97,94,91,98,99,99,95.8,3.0919249667480617
query_033,1.026,98,99,99,98,98,99,98,98,98,98,98.3,0.45825756949558394
query_034,0.957,12,90,90,90,90,88,90,90,89,89,81.8,23.27573844156185
query_035,0.445,93,93,92,93,93,93,93,92,94,94,93.0,0.6324555320336759
query_036,1.006,98,97,97,95,97,97,97,96,98,98,97.0,0.8944271909999159
query_037,0.712,30,30,50,42,30,30,29,32,39,30,34.2,6.734983296193095
query_038,0.902,10,10,10,10,10,10,10,10,10,10,10.0,0.0
query_039,0.831,63,66,66,65,65,65,66,66,65,65,65.2,0.8717797887081347
query_040,0.862,74,76,70,73,67,68,71,66,68,72,70.5,3.1064449134018135
query_041,0.945,98,100,96,100,98,94,97,98,99,97,97.7,1.7349351572897473
query_042,1.063,96,95,97,97,96,98,95,95,96,95,96.0,1.0
query_043,0.857,89,87,89,89,89,89,89,87,89,89,88.6,0.8
query_044,0.846,100,99,100,100,100,100,100,100,100,100,99.9,0.30000000000000004
query_045,1.051,56,67,66,66,66,69,66,66,51,67,64.0,5.440588203494177
query_046,1.08,95,94,94,92,95,96,95,95,96,94,94.6,1.1135528725660042
query_047,1.047,98,99,97,99,100,99,99,98,99,98,98.6,0.8
query_048,1.043,6,13,6,95,7,6,7,94,94,93,42.1,42.42275332884465
query_049,1.003,81,77,74,76,73,76,76,77,76,76,76.2,1.9899748742132397
query_050,1.133,91,92,92,91,92,92,93,100,92,92,92.7,2.491987158875422
query_051,1.012,99,98,99,98,98,99,99,98,99,98,98.5,0.5
query_052,0.992,81,79,79,78,82,78,79,79,86,82,80.3,2.368543856465402
