Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.984,97,98,97,99,98,98,97,98,99,96,97.7,0.9
query_002,0.896,96,95,96,96,96,95,95,95,96,95,95.5,0.5
query_003,1.008,99,99,99,99,99,99,99,99,99,99,99.0,0.0
query_004,0.956,97,73,71,89,94,98,94,94,97,99,90.6,9.687104830649869
query_005,0.963,98,98,97,98,99,99,98,98,99,97,98.1,0.7000000000000001
query_006,1.002,99,99,98,99,88,99,95,99,97,99,97.2,3.31058907144937
query_007,0.978,89,87,89,88,72,68,81,95,95,83,84.7,8.49764673306675
query_008,1.08,99,99,100,99,99,100,100,99,100,99,99.4,0.4898979485566356
query_009,0.958,98,97,97,97,98,98,98,97,97,97,97.4,0.4898979485566356
query_010,0.897,98,98,98,98,98,98,97,98,98,98,97.9,0.30000000000000004
query_011,0.952,99,95,98,99,99,99,86,96,96,98,96.5,3.774917217635375
query_012,1.041,97,98,67,97,97,91,98,98,98,97,93.8,9.15204895091804
query_013,0.906,63,66,54,53,52,57,67,57,62,59,59.0,5.059644256269407
query_014,0.806,77,17,19,67,17,66,22,19,19,75,39.8,25.891311283903715
query_015,1.092,99,100,98,100,99,99,99,99,98,99,99.0,0.6324555320336759
query_016,1.007,99,99,0,99,100,99,99,100,100,99,89.4,29.803355515780435
query_017,0.966,95,98,92,95,98,97,95,95,98,97,96.0,1.8439088914585775
query_018,1.081,99,95,99,100,98,100,98,99,99,98,98.5,1.3601470508735443
query_019,1.028,98,98,100,98,98,97,99,100,98,98,98.4,0.9165151389911679
query_020,1.089,88,88,89,87,88,84,88,88,88,89,87.7,1.3453624047073711
query_021,1.065,98,99,98,98,98,100,98,99,98,99,98.5,0.6708203932499369
query_022,0.944,99,99,99,99,99,99,100,100,99,99,99.2,0.4
query_023,1.16,99,99,99,99,98,99,99,99,99,98,98.8,0.4
query_024,0.982,86,86,86,87,86,86,86,86,86,96,87.1,2.981610303175115
query_025,0.82,83,83,82,82,84,70,84,83,84,83,81.8,3.9949968710876353
query_026,0.868,49,45,92,64,83,59,62,59,76,59,64.8,13.955644019535608
query_027,1.121,99,99,96,99,99,99,100,99,99,99,98.8,0.9797958971132711
query_028,0.91,96,96,96,96,96,96,96,96,96,96,96.0,0.0
query_029,1.098,96,100,99,100,99,99,99,100,99,99,99.0,1.0954451150103321
query_030,1.1,91,95,99,97,98,94,96,98,99,99,96.6,2.4979991993593593
query_031,0.906,96,96,96,96,96,96,96,96,96,96,96.0,0.0
query_032,0.913,96,98,98,98,98,98,98,98,95,96,97.3,1.1
query_033,0.988,95,95,95,97,96,96,95,95,95,97,95.6,0.8
query_034,1.102,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_035,0.455,95,92,90,94,92,92,94,92,93,92,92.6,1.3564659966250536
query_036,0.896,83,83,17,80,83,17,17,83,83,83,62.9,30.06143709139668
query_037,0.891,98,98,97,97,98,99,99,98,99,98,98.1,0.7000000000000001
query_038,0.895,81,84,56,79,82,46,82,82,81,81,75.4,12.459534501738016
query_039,0.844,73,56,26,25,26,75,48,64,25,26,44.4,20.135540717845153
query_040,0.812,89,83,85,82,84,83,82,83,83,85,83.9,1.9723082923316018
query_041,0.986,98,99,98,99,99,98,98,98,99,99,98.5,0.5
query_042,1.142,99,99,98,98,98,98,98,98,98,99,98.3,0.45825756949558405
