Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.984,98,98,100,98,99,99,98,99,99,98,98.6,0.66332495807108
query_002,0.896,96,95,96,95,96,96,96,96,96,96,95.8,0.4
query_003,1.008,99,99,99,99,99,99,99,99,100,99,99.1,0.30000000000000004
query_004,0.956,98,98,98,99,97,98,97,98,97,96,97.6,0.8
query_005,0.963,99,98,98,97,98,98,97,99,97,98,97.9,0.7000000000000001
query_006,1.002,84,93,82,78,81,78,77,81,83,82,81.9,4.3
query_007,0.978,97,95,96,87,96,97,94,96,96,92,94.6,2.90516780926679
query_008,1.08,99,99,98,99,100,99,100,99,99,99,99.1,0.5385164807134505
query_009,0.958,97,98,97,98,98,98,98,97,98,98,97.7,0.45825756949558394
query_010,0.897,98,97,98,98,96,96,94,98,98,98,97.1,1.3
query_011,0.952,96,99,97,97,98,96,96,97,96,97,96.9,0.9433981132056604
query_012,1.041,98,99,100,99,99,99,99,90,99,97,97.9,2.7367864366808017
query_013,0.906,69,76,61,69,71,70,74,78,69,68,70.5,4.5
query_014,0.806,16,18,17,17,19,19,17,19,19,19,18.0,1.0954451150103321
query_015,1.092,97,98,97,97,97,98,97,96,99,97,97.3,0.7810249675906654
query_016,1.007,99,99,99,0,99,99,0,100,99,100,79.4,39.70188912381878
query_017,0.966,86,93,86,93,95,85,94,89,91,91,90.3,3.4365680554879168
query_018,1.081,99,98,98,98,98,98,98,98,99,99,98.3,0.45825756949558405
query_019,1.028,99,99,99,99,97,99,97,89,97,98,97.3,2.9000000000000004
query_020,1.089,85,86,89,89,87,87,88,89,84,88,87.2,1.6613247725836149
query_021,1.065,99,98,99,98,98,98,100,100,99,99,98.8,0.7483314773547882
query_022,0.944,99,100,99,99,100,100,99,99,99,99,99.3,0.45825756949558394
query_023,1.16,98,99,98,98,98,99,99,99,98,98,98.4,0.4898979485566356
query_024,0.982,86,86,86,86,86,85,86,85,87,86,85.9,0.5385164807134505
query_025,0.82,85,84,83,84,84,85,85,85,82,83,84.0,1.0
query_026,0.868,36,36,36,36,36,35,37,36,36,56,38.0,6.016643582596529
query_027,1.121,99,99,99,99,99,99,99,99,99,99,99.0,0.0
query_028,0.91,96,96,96,96,95,96,96,95,96,96,95.8,0.4
query_029,1.098,99,99,99,99,100,99,99,99,99,100,99.2,0.4
query_030,1.1,95,97,96,96,98,96,99,97,93,92,95.9,2.0223748416156684
query_031,0.906,0,96,96,96,0,96,96,96,96,96,76.8,38.4
query_032,0.913,96,98,97,96,96,97,98,98,97,96,96.9,0.8306623862918076
query_033,0.988,86,85,86,83,94,86,94,87,86,87,87.4,3.4698703145794947
query_034,1.102,100,100,99,100,100,98,95,98,99,100,98.9,1.5132745950421556
query_035,0.455,94,92,94,92,93,95,94,92,92,94,93.2,1.0770329614269007
query_036,0.896,83,81,83,83,83,83,81,83,82,81,82.3,0.9
query_037,0.891,98,100,99,100,98,98,97,98,99,99,98.6,0.9165151389911679
query_038,0.895,83,82,84,83,84,84,82,84,84,82,83.2,0.8717797887081347
query_039,0.844,26,25,26,26,26,26,26,26,26,26,25.9,0.3
