Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.058,95,90,90,89,90,95,92,88,90,49,86.8,12.796874618437112
query_002,0.938,56,60,60,57,57,59,64,62,54,58,58.7,2.7946377224964243
query_003,1.066,82,84,83,87,82,85,87,86,85,86,84.7,1.7916472867168918
query_004,1.169,100,99,100,98,98,100,100,99,99,98,99.1,0.8306623862918076
query_005,1.027,66,68,68,74,75,72,76,79,73,76,72.7,3.9761790704142084
query_006,0.979,60,68,50,72,68,59,66,66,59,74,64.2,6.823488843692792
query_007,1.049,73,64,59,59,60,58,58,71,58,58,61.8,5.4
query_008,1.106,83,82,83,83,85,86,82,77,82,82,82.5,2.247220505424423
query_009,0.849,53,53,52,51,52,56,52,53,55,53,53.0,1.4142135623730951
query_010,0.904,94,93,94,93,94,93,95,94,94,94,93.8,0.6
query_011,1.023,77,71,73,74,68,76,67,70,75,69,72.0,3.3166247903554
query_012,1.034,64,71,73,69,70,70,68,73,72,72,70.2,2.6
query_013,0.917,89,80,65,81,76,89,79,90,88,88,82.5,7.553145040312677
query_014,0.927,89,85,82,85,86,86,84,89,85,85,85.6,2.009975124224178
query_015,1.168,95,94,94,96,94,96,95,95,93,98,95.0,1.3416407864998738
query_016,1.042,82,73,91,82,83,86,82,79,79,82,81.9,4.437341546466758
query_017,0.963,76,82,83,84,80,82,80,81,81,76,80.5,2.539685019840059
query_018,0.997,65,63,65,66,58,65,69,57,63,66,63.7,3.4942810419312296
query_019,0.964,78,73,70,71,71,72,68,73,67,73,71.6,2.90516780926679
query_020,1.088,79,73,74,81,75,77,77,76,59,78,74.9,5.752390807307862
query_021,1.012,62,63,63,62,76,70,62,64,64,65,65.1,4.27668095606862
query_022,0.935,99,99,99,99,99,99,99,99,99,99,99.0,0.0
query_023,1.024,60,56,60,57,60,60,58,60,69,59,59.9,3.3301651610693423
query_024,1.0,99,99,99,99,99,99,99,100,100,99,99.2,0.4
query_025,0.811,72,72,75,71,73,73,76,75,73,73,73.3,1.4866068747318506
query_026,0.865,65,65,67,61,35,58,57,44,68,61,58.1,10.113851887386922
query_027,1.11,93,94,95,94,95,94,94,95,98,94,94.6,1.2806248474865698
query_028,0.92,70,76,70,67,69,67,77,77,76,65,71.4,4.409081537009721
query_029,1.146,94,92,96,94,95,92,93,95,96,95,94.2,1.4
query_030,1.004,96,97,96,97,94,95,97,96,95,99,96.2,1.3266499161421599
query_031,0.834,84,85,81,81,82,83,81,81,83,84,82.5,1.4317821063276353
query_032,0.956,82,84,87,85,88,94,96,94,96,91,89.7,4.920365840057018
