Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.058,49,49,58,51,50,47,49,49,47,46,49.5,3.170173496829472
query_002,0.938,58,56,58,53,53,58,58,58,57,56,56.5,1.91049731745428
query_003,1.066,78,77,79,78,78,77,78,78,74,77,77.4,1.2806248474865698
query_004,1.169,100,100,100,100,100,99,100,100,100,100,99.9,0.30000000000000004
query_005,1.027,66,65,64,63,64,66,64,66,65,67,65.0,1.1832159566199232
query_006,0.979,48,56,61,47,62,55,52,58,68,58,56.5,6.103277807866851
query_007,1.049,66,59,61,60,60,59,61,59,59,63,60.7,2.1470910553583886
query_008,1.106,89,90,87,91,88,89,91,89,88,89,89.1,1.2206555615733703
query_009,0.849,56,55,56,58,56,57,56,63,56,57,57.0,2.1447610589527217
query_010,0.904,97,97,97,96,97,98,97,95,96,97,96.7,0.7810249675906653
query_011,1.023,63,64,63,75,60,60,61,73,66,70,65.5,5.123475382979799
query_012,1.034,68,70,71,72,71,70,67,68,71,70,69.8,1.5362291495737217
query_013,0.917,85,86,87,87,82,84,88,85,82,84,85.0,1.9493588689617927
query_014,0.927,93,93,93,89,90,93,89,92,93,90,91.5,1.6881943016134133
query_015,1.168,93,89,91,87,89,87,85,81,90,89,88.1,3.176476034853718
query_016,1.042,78,73,82,70,77,69,36,73,72,74,70.4,12.043255373859678
query_017,0.963,51,54,49,50,51,50,51,50,48,48,50.2,1.6613247725836147
query_018,0.997,55,59,65,55,55,59,59,57,58,60,58.2,2.891366458960192
query_019,0.964,82,75,76,82,77,77,77,75,78,76,77.5,2.4186773244895647
query_020,1.088,55,56,60,56,57,55,56,57,55,56,56.3,1.4177446878757827
query_021,1.012,63,78,60,72,62,62,81,73,64,61,67.6,7.310266752998826
query_022,0.935,93,92,99,96,94,96,96,98,99,98,96.1,2.3430749027719964
query_023,1.024,62,63,60,65,61,62,65,65,63,65,63.1,1.7578395831246947
query_024,1.0,100,99,100,98,99,100,99,99,99,99,99.2,0.6
query_025,0.811,75,75,75,75,75,75,75,75,75,75,75.0,0.0
query_026,0.865,59,61,47,58,57,36,67,61,65,68,57.9,9.24608025057105
query_027,1.11,96,96,96,96,96,95,96,94,98,96,95.9,0.9433981132056604
query_028,0.92,69,72,74,74,76,75,77,74,74,72,73.7,2.1470910553583886
query_029,1.146,94,94,96,95,93,95,94,93,91,92,93.7,1.4177446878757822
query_030,1.004,98,98,97,97,96,96,98,97,99,96,97.2,0.9797958971132712
query_031,0.834,83,83,84,83,82,85,84,86,85,81,83.6,1.42828568570857
query_032,0.956,95,95,96,95,93,96,96,97,93,95,95.1,1.2206555615733703
query_033,1.058,59,67,68,65,67,55,68,59,62,59,62.9,4.459820624195552
query_034,1.025,14,15,18,15,15,74,79,15,15,15,27.5,24.544856895080894
query_035,0.424,37,93,47,47,36,87,42,37,35,90,55.1,23.235533133543548
query_036,0.916,62,61,64,63,65,66,64,64,63,67,63.9,1.7
query_037,0.855,31,32,34,31,32,34,31,33,36,32,32.6,1.562049935181331
query_038,0.919,58,57,57,56,57,57,66,57,57,57,57.9,2.736786436680802
query_039,0.857,51,52,50,50,50,51,49,48,50,46,49.7,1.6155494421403511
query_040,0.965,56,52,58,52,47,47,55,52,52,48,51.9,3.5623026261113755
query_041,1.019,79,74,75,80,70,80,83,78,80,77,77.6,3.5552777669262356
query_042,1.074,62,52,62,56,49,50,75,68,71,45,59.0,9.664367542679656
query_043,0.995,95,96,96,94,95,97,95,97,94,96,95.5,1.02469507659596
query_044,0.869,47,45,47,45,48,47,47,50,47,50,47.3,1.6155494421403513
query_045,1.153,68,69,76,83,67,72,76,71,67,70,71.9,4.825971404805461
query_046,1.113,86,87,89,86,87,90,88,88,89,89,87.9,1.3
query_047,1.157,94,45,43,44,44,44,44,44,84,44,53.0,18.143869488066763
query_048,1.192,99,99,100,100,99,99,99,99,99,98,99.1,0.5385164807134505
query_049,1.03,57,59,57,57,57,57,55,59,57,54,56.9,1.445683229480096
query_050,1.142,98,97,96,96,95,96,97,96,96,98,96.5,0.9219544457292888
query_051,0.976,63,65,53,62,64,60,65,61,62,63,61.8,3.31058907144937
query_052,1.095,75,70,69,75,67,72,67,69,73,71,70.8,2.785677655436824
query_053,0.966,26,26,70,27,27,66,64,65,60,65,49.6,19.001052602421794
query_054,1.193,84,80,80,84,82,79,83,83,87,83,82.5,2.247220505424423
query_055,1.183,76,78,80,79,77,79,78,78,76,58,75.9,6.090155991434045
query_056,0.71,58,59,54,56,56,56,58,59,59,56,57.1,1.6401219466856725
query_057,0.77,90,93,95,93,95,94,93,92,94,94,93.3,1.4177446878757827
query_058,0.893,79,81,88,87,86,78,83,80,77,83,82.2,3.655133376499413
query_059,1.049,80,81,83,81,82,77,80,79,81,78,80.2,1.7204650534085253
query_060,0.975,95,94,96,97,96,94,96,95,95,95,95.3,0.9
query_061,1.191,97,98,98,99,98,97,97,98,99,99,98.0,0.7745966692414834
query_062,0.9,84,86,82,82,83,81,82,81,79,82,82.2,1.7776388834631176
query_063,1.085,78,78,78,83,78,78,79,81,20,78,73.1,17.77329457360115
query_064,0.968,98,98,98,98,98,98,99,99,98,99,98.3,0.45825756949558405
query_065,0.965,58,59,59,65,56,56,57,56,58,57,58.1,2.5475478405713994
query_066,1.079,89,91,91,90,90,90,91,91,90,90,90.3,0.6403124237432849
query_067,0.977,67,72,68,69,72,69,69,72,68,62,68.8,2.85657137141714
query_068,1.064,76,83,76,82,79,82,76,83,76,76,78.9,3.080584360149872
query_069,1.234,94,94,94,94,94,94,93,94,93,94,93.8,0.4
query_070,1.201,73,75,83,84,84,71,71,77,94,71,78.3,7.3082145562373855
query_071,1.126,100,100,97,100,100,100,100,100,100,99,99.6,0.9165151389911679
query_072,1.039,48,39,40,37,73,37,42,40,39,40,43.5,10.268885041717041
query_073,1.27,88,91,89,89,86,92,91,94,94,89,90.3,2.4515301344262523
query_074,1.072,51,52,51,50,52,51,52,50,48,50,50.7,1.1874342087037917
query_075,0.973,92,91,92,91,91,92,92,92,91,91,91.5,0.5
query_076,0.934,28,32,31,27,26,27,25,26,31,31,28.4,2.4576411454889016
query_077,1.069,76,75,73,74,71,75,72,72,72,75,73.5,1.6278820596099706
query_078,0.85,22,19,21,30,24,22,23,24,23,22,23.0,2.7202941017470885
query_079,0.883,85,82,82,84,84,81,83,83,82,85,83.1,1.3
query_080,0.855,20,21,44,13,20,27,46,38,29,28,28.6,10.394229168149026
query_081,1.157,73,70,67,65,70,71,66,65,64,75,68.6,3.555277766926235
query_082,1.116,94,93,93,94,92,92,94,94,94,94,93.4,0.8
query_083,0.911,81,78,78,75,82,80,80,80,79,79,79.2,1.8330302779823358
query_084,0.936,64,61,59,62,61,66,67,67,64,60,63.1,2.7730849247724096
query_085,1.259,8,83,84,82,84,84,83,12,84,84,68.8,29.420401084961437
query_086,0.988,80,83,80,78,79,84,80,83,80,83,81.0,1.9493588689617927
query_087,0.902,63,63,63,62,64,63,62,62,62,63,62.7,0.6403124237432849
query_088,1.094,94,92,95,95,96,96,94,94,94,96,94.6,1.2
query_089,0.789,55,52,55,56,55,53,53,56,57,57,54.9,1.6401219466856725
query_090,1.023,49,50,57,50,48,53,51,48,43,52,50.1,3.477067730142742
query_091,0.845,65,63,64,67,68,66,67,67,66,66,65.9,1.445683229480096
query_092,1.102,96,96,96,96,96,96,96,96,96,96,96.0,0.0
query_093,0.789,29,28,71,29,29,29,30,65,28,30,36.8,15.670354175959138
query_094,1.174,66,71,66,65,66,67,66,66,66,67,66.6,1.5620499351813306
query_095,0.886,92,97,97,93,94,97,97,92,94,93,94.6,2.0591260281974
query_096,1.156,100,97,100,100,96,100,99,100,99,100,99.1,1.374772708486752
query_097,0.859,70,70,73,67,69,70,69,70,66,73,69.7,2.0999999999999996
query_098,1.106,90,91,90,91,92,91,90,90,92,92,90.9,0.8306623862918076
query_099,1.092,52,62,51,65,55,62,50,49,52,53,55.1,5.448853090330111
query_100,1.129,86,85,87,81,85,86,82,86,89,88,85.5,2.3345235059857505
query_101,1.065,62,63,61,61,60,58,59,59,61,63,60.7,1.6155494421403513
query_102,0.934,67,69,72,71,73,74,69,68,70,68,70.1,2.211334438749598
query_103,0.929,37,44,57,55,47,36,54,49,58,41,47.8,7.730459236035076
query_104,1.015,85,89,95,89,94,91,89,87,86,89,89.4,3.0397368307141326
query_105,0.995,74,76,66,78,68,68,68,73,69,77,71.7,4.172529209005013
query_106,1.142,95,96,96,96,94,96,96,95,95,96,95.5,0.6708203932499369
query_107,0.944,81,80,79,81,83,81,84,81,83,81,81.4,1.42828568570857
query_108,0.977,96,96,95,96,97,92,97,98,97,97,96.1,1.5779733838059498
query_109,0.95,87,76,80,76,77,80,79,78,73,79,78.5,3.5
