Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.988,88,76,76,77,77,77,74,74,72,74,76.5,4.153311931459037
query_002,0.961,99,99,99,97,99,96,99,99,97,100,98.4,1.2
query_003,0.997,82,83,83,82,82,82,85,82,80,84,82.5,1.284523257866513
query_004,1.065,99,98,98,98,99,98,99,98,98,98,98.3,0.45825756949558394
query_005,1.025,56,59,97,57,96,57,96,56,58,59,69.1,17.85749142516944
query_006,0.97,80,81,81,81,82,81,81,72,81,93,81.3,4.754997371187496
query_007,1.149,60,59,92,37,93,59,94,82,59,37,67.2,20.725829295832774
query_008,1.133,84,84,84,84,83,84,84,84,84,84,83.9,0.30000000000000004
query_009,0.865,74,94,94,94,94,94,95,95,93,93,92.0,6.0332412515993425
query_010,0.872,95,92,89,97,94,87,83,94,94,90,91.5,4.031128874149275
query_011,1.006,95,90,90,94,94,92,93,82,93,85,90.8,4.019950248448357
query_012,0.999,64,67,69,91,62,64,62,60,94,62,69.5,11.783462988442743
query_013,0.904,97,97,97,97,100,97,99,99,96,97,97.6,1.2
query_014,0.796,76,77,76,75,78,75,82,89,75,77,78.0,4.171330722922842
query_015,1.142,89,96,92,96,97,94,91,92,94,95,93.6,2.416609194718914
query_016,1.045,99,100,99,99,100,99,100,100,99,100,99.5,0.5
query_017,0.994,97,97,97,97,96,97,98,97,98,97,97.1,0.5385164807134505
query_018,0.962,83,83,83,97,81,81,82,83,82,97,85.2,5.946427498927402
query_019,1.046,96,94,95,95,96,95,95,94,95,95,95.0,0.6324555320336759
query_020,1.086,73,59,65,65,65,64,65,65,65,65,65.1,3.176476034853718
query_021,1.019,65,67,33,67,66,67,67,67,26,67,59.2,14.945233353815524
query_022,0.984,99,99,99,100,99,99,99,99,99,99,99.1,0.30000000000000004
query_023,1.106,96,98,95,98,90,97,96,97,96,96,95.9,2.1656407827707715
query_024,0.876,82,81,89,82,79,85,78,84,88,56,80.4,8.8
query_025,0.854,19,18,20,20,74,21,23,20,19,19,25.3,16.28526941748278
query_026,0.893,96,96,96,96,97,96,96,96,96,96,96.1,0.30000000000000004
query_027,1.164,99,99,100,98,99,98,99,98,98,99,98.7,0.6403124237432849
query_028,1.041,99,99,99,99,100,99,100,99,99,99,99.2,0.4
query_029,1.064,99,56,98,91,98,98,99,98,91,97,92.5,12.5
query_030,1.105,99,99,100,99,99,99,99,100,99,100,99.3,0.45825756949558405
query_031,0.813,58,38,59,57,39,70,37,55,57,58,52.8,10.428806259586953
query_032,0.815,79,71,71,79,79,79,79,71,79,77,76.4,3.583294573433783
query_033,1.064,51,82,96,79,87,49,93,61,88,51,73.7,17.748521065147933
query_034,0.985,95,97,97,93,98,98,90,79,95,98,94.0,5.5677643628300215
query_035,0.426,93,95,92,92,94,95,93,94,92,93,93.3,1.0999999999999999
query_036,0.919,83,62,60,74,51,85,55,49,59,67,64.5,11.95198728245642
query_037,0.775,91,92,89,91,91,91,93,90,92,92,91.2,1.0770329614269007
query_038,0.904,96,96,96,96,96,95,97,97,93,89,95.1,2.3
query_039,0.925,33,33,67,67,33,67,33,33,67,67,50.0,17.0
query_040,0.87,42,52,61,29,28,49,28,29,41,28,38.7,11.52432210587677
query_041,0.999,85,83,86,82,84,94,82,83,18,92,78.9,20.675831301304427
