Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.988,61,61,61,61,64,61,68,60,63,63,62.3,2.2383029285599387
query_002,0.961,97,98,99,99,97,97,96,96,99,98,97.6,1.1135528725660042
query_003,0.997,83,82,82,82,83,83,83,82,83,83,82.6,0.4898979485566356
query_004,1.065,98,98,98,98,98,89,98,98,98,97,97.0,2.6832815729997477
query_005,1.025,57,58,57,58,58,58,58,58,58,58,57.8,0.4
query_006,0.97,96,96,97,97,94,96,94,97,98,96,96.1,1.2206555615733703
query_007,1.149,36,62,37,41,60,61,36,72,39,36,48.0,13.29661611087573
query_008,1.133,84,83,84,84,84,84,84,84,84,84,83.9,0.30000000000000004
query_009,0.865,93,93,95,95,94,95,95,93,94,95,94.2,0.8717797887081347
query_010,0.872,93,96,93,91,91,88,91,93,95,92,92.3,2.1470910553583886
query_011,1.006,95,95,92,96,94,94,96,96,93,97,94.8,1.4696938456699067
query_012,0.999,99,99,99,99,99,99,99,99,97,100,98.9,0.7000000000000001
query_013,0.904,99,99,97,98,98,98,98,98,99,99,98.3,0.6403124237432849
query_014,0.796,81,83,85,84,84,81,81,92,85,84,84.0,3.0659419433511785
query_015,1.142,99,100,98,99,98,98,99,99,100,98,98.8,0.7483314773547882
query_016,1.045,99,99,99,99,99,99,100,99,99,99,99.1,0.30000000000000004
query_017,0.994,94,89,93,93,94,94,91,77,93,96,91.4,5.122499389946279
query_018,0.962,83,86,86,83,83,83,94,83,93,83,85.7,4.075536774462967
query_019,1.046,94,96,97,96,95,96,96,95,96,96,95.7,0.7810249675906653
query_020,1.086,64,64,62,63,63,63,63,63,63,63,63.1,0.5385164807134504
query_021,1.019,67,67,67,67,67,68,67,67,67,67,67.1,0.30000000000000004
query_022,0.984,99,99,99,99,98,99,99,99,100,100,99.1,0.5385164807134505
query_023,1.106,95,96,94,95,96,96,95,96,95,95,95.3,0.6403124237432849
query_024,0.876,63,73,65,67,59,57,68,68,70,52,64.2,6.144916598294887
query_025,0.854,18,19,19,19,22,17,20,20,18,18,19.0,1.3416407864998738
query_026,0.893,96,95,96,96,96,96,96,96,96,96,95.9,0.30000000000000004
query_027,1.164,100,99,99,99,99,99,99,99,100,99,99.2,0.4
query_028,1.041,99,99,95,99,98,94,92,91,100,97,96.4,3.0397368307141326
query_029,1.064,98,98,97,90,99,98,99,99,93,99,97.0,2.898275349237888
query_030,1.105,99,99,98,99,100,99,99,99,99,99,99.0,0.4472135954999579
query_031,0.813,59,58,47,60,47,62,58,52,48,56,54.7,5.423098745182499
query_032,0.815,77,78,79,75,78,76,73,76,90,72,77.4,4.6946778377222005
query_033,1.064,97,97,96,96,95,96,97,96,97,97,96.4,0.66332495807108
query_034,0.985,97,97,96,97,98,96,94,95,97,97,96.4,1.1135528725660042
query_035,0.426,84,87,87,88,85,86,88,86,88,82,86.1,1.8681541692269403
query_036,0.919,48,53,48,93,50,94,52,49,47,55,58.9,17.461099621730586
query_037,0.775,92,92,95,94,94,92,95,93,95,94,93.6,1.2
query_038,0.904,95,97,97,97,97,96,97,96,95,97,96.4,0.8
query_039,0.925,100,100,100,73,74,100,40,100,100,100,88.7,19.30828837572093
query_040,0.87,29,28,27,49,29,38,38,29,36,43,34.6,7.059745037889116
query_041,0.999,23,86,7,85,87,9,84,85,13,77,55.6,35.09187940250565
query_042,1.11,91,91,90,91,91,95,91,91,90,90,91.1,1.374772708486752
query_043,0.921,87,72,63,67,79,74,68,69,77,65,72.1,6.949100661236676
query_044,0.88,98,98,97,99,98,98,98,98,98,99,98.1,0.5385164807134505
query_045,1.103,98,97,97,96,96,98,97,97,97,97,97.0,0.6324555320336759
query_046,1.221,98,100,100,100,100,100,100,100,100,99,99.7,0.6403124237432849
query_047,0.99,39,39,48,38,44,43,53,46,51,41,44.2,4.955804677345546
query_048,1.159,99,100,99,100,99,99,99,100,99,99,99.3,0.45825756949558394
query_049,0.962,63,64,62,66,64,64,67,63,60,61,63.4,2.009975124224178
query_050,1.106,71,94,94,94,94,94,94,95,94,94,91.8,6.939740629158989
query_051,1.054,97,95,95,94,97,94,97,94,97,95,95.5,1.284523257866513
query_052,1.039,86,85,83,85,84,83,83,83,84,84,84.0,1.0
query_053,0.899,16,20,21,19,19,17,76,76,19,76,35.9,26.28478647430867
query_054,1.07,69,70,72,60,64,76,60,60,69,68,66.8,5.287721626560915
query_055,1.011,51,48,54,52,50,48,55,49,52,52,51.1,2.2561028345356955
query_056,0.731,69,66,65,67,71,64,69,72,66,71,68.0,2.6457513110645907
query_057,0.713,98,97,97,97,98,97,97,96,98,98,97.3,0.6403124237432849
query_058,0.752,80,82,77,79,81,77,76,77,77,77,78.3,1.9519221295943134
query_059,1.06,95,94,94,95,94,94,94,94,94,94,94.2,0.4
query_060,1.031,72,72,72,72,72,72,72,72,72,72,72.0,0.0
