Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.996,90,83,83,82,85,84,81,88,96,96,86.8,5.2687759489277965
query_002,0.962,96,97,95,97,96,95,97,97,96,95,96.1,0.8306623862918076
query_003,0.975,100,100,99,99,99,100,99,99,100,99,99.4,0.4898979485566356
query_004,1.085,64,92,75,68,61,91,90,63,64,64,73.2,12.204917041913886
query_005,0.871,93,88,94,95,86,95,96,95,96,91,92.9,3.3
query_006,0.945,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_007,1.003,99,99,99,99,98,99,98,99,98,97,98.5,0.6708203932499369
query_008,0.946,97,98,99,97,97,97,97,97,97,97,97.3,0.6403124237432849
query_009,0.804,98,97,97,97,96,96,98,96,97,96,96.8,0.7483314773547882
query_010,0.78,52,67,77,56,77,79,80,77,52,97,71.4,13.74918179383777
query_011,0.967,81,81,83,77,82,93,82,81,81,84,82.5,3.905124837953327
query_012,0.937,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_013,0.741,22,20,85,22,18,22,22,77,78,82,44.8,29.243118848713795
query_014,0.791,31,31,55,29,48,51,50,47,56,46,44.4,9.697422337920527
query_015,0.946,88,88,86,87,88,78,86,88,87,91,86.7,3.195309061734092
query_016,0.943,93,98,97,98,97,95,60,96,96,92,92.2,10.897706180660222
query_017,0.908,87,84,90,84,90,81,84,89,79,79,84.7,4.001249804748512
query_018,0.953,56,87,56,44,44,56,56,44,56,56,55.5,11.791946404220129
query_019,0.882,93,91,93,95,91,94,95,94,92,92,93.0,1.4142135623730951
query_020,0.958,78,78,96,78,88,95,78,94,78,78,84.1,7.725930364687478
query_021,0.96,98,99,99,98,98,98,98,98,99,98,98.3,0.45825756949558394
query_022,0.893,99,99,98,99,98,100,98,99,99,99,98.8,0.6
query_023,0.943,93,93,91,92,93,91,95,93,93,91,92.5,1.2041594578792296
query_024,0.875,87,93,93,80,67,88,93,94,93,88,87.6,8.002499609497022
query_025,0.83,83,83,84,83,83,83,83,83,83,84,83.2,0.4
query_026,0.793,95,96,95,95,95,95,93,96,96,96,95.2,0.8717797887081347
query_027,1.025,97,98,97,98,97,96,97,98,98,98,97.4,0.66332495807108
query_028,0.931,96,94,97,91,97,93,73,96,95,93,92.5,6.756478372643548
query_029,1.04,97,97,95,96,97,97,97,96,96,98,96.6,0.8
query_030,0.841,73,68,85,83,79,67,68,70,74,66,73.3,6.512296062065975
query_031,0.741,53,43,56,43,25,56,48,33,53,61,47.1,10.690650120549265
query_032,0.767,76,77,76,80,81,81,67,77,82,68,76.5,4.964876634922564
query_033,0.925,62,63,62,62,62,62,63,62,62,62,62.2,0.4
query_034,0.9,98,98,98,98,98,98,98,98,98,98,98.0,0.0
query_035,0.419,71,59,58,69,59,69,47,75,72,62,64.1,8.14186710773395
query_036,0.824,77,78,80,98,81,79,81,78,81,80,81.3,5.728001396647874
query_037,0.748,69,66,73,64,67,70,66,72,79,73,69.9,4.253234063627347
query_038,0.895,98,100,98,98,98,100,98,100,99,99,98.8,0.8717797887081347
query_039,0.835,60,62,60,58,55,69,60,62,57,60,60.3,3.551056180912941
query_040,0.834,90,91,91,91,90,90,91,90,90,90,90.4,0.4898979485566356
query_041,0.911,95,96,97,94,97,96,96,94,94,97,95.6,1.2
query_042,0.929,92,92,92,91,91,93,92,92,91,91,91.7,0.6403124237432849
query_043,0.902,98,98,98,98,97,98,99,99,99,100,98.4,0.8
query_044,0.813,99,99,98,99,98,99,99,93,98,97,97.9,1.7578395831246945
query_045,1.024,99,99,99,99,99,99,99,100,99,99,99.1,0.30000000000000004
query_046,0.993,87,99,51,99,99,99,87,98,87,99,90.5,14.193308282426617
query_047,0.951,99,99,99,99,99,99,99,99,64,99,95.5,10.5
query_048,1.069,96,94,95,96,95,94,95,94,95,95,94.9,0.7000000000000001
query_049,0.914,10,94,10,86,10,86,10,86,89,10,49.1,39.16235437253486
query_050,0.996,99,98,98,99,99,99,98,98,98,99,98.5,0.5
query_051,0.955,81,64,70,73,67,88,64,69,68,84,72.8,8.109253973085318
query_052,1.037,87,73,73,73,74,73,73,73,97,74,77.0,7.835815209663893
query_053,0.97,96,97,94,95,96,94,96,97,95,94,95.4,1.1135528725660042
query_054,1.022,98,95,92,97,95,95,96,96,98,76,93.8,6.161168720299745
