Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.996,88,91,97,93,83,95,90,96,97,97,92.7,4.450842616853578
query_002,0.962,96,97,95,96,96,96,96,95,96,96,95.9,0.5385164807134505
query_003,0.975,99,99,100,100,100,99,99,100,99,100,99.5,0.5
query_004,1.085,54,52,54,55,66,69,52,74,54,54,58.4,7.6446059414465575
query_005,0.871,94,94,92,93,94,91,91,91,94,92,92.6,1.2806248474865698
query_006,0.945,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_007,1.003,99,99,99,99,99,99,99,99,98,99,98.9,0.30000000000000004
query_008,0.946,97,98,98,97,97,97,97,97,98,99,97.5,0.6708203932499369
query_009,0.804,96,99,96,97,96,98,97,96,96,97,96.8,0.9797958971132711
query_010,0.78,48,56,57,47,67,44,45,49,48,74,53.5,9.521029356114811
query_011,0.967,82,78,78,83,80,77,82,78,77,82,79.7,2.238302928559939
query_012,0.937,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_013,0.741,17,14,18,18,18,20,15,18,18,18,17.4,1.6248076809271923
query_014,0.791,25,27,23,27,22,18,11,31,10,17,21.1,6.624952830020754
query_015,0.946,87,88,87,86,87,88,85,86,87,88,86.9,0.9433981132056604
query_016,0.943,61,60,58,60,57,63,58,84,59,80,64.0,9.186947262284681
query_017,0.908,91,92,93,89,88,92,91,91,92,94,91.3,1.676305461424021
query_018,0.953,56,56,56,56,56,56,56,56,56,56,56.0,0.0
query_019,0.882,90,91,93,92,92,92,92,91,92,92,91.7,0.7810249675906653
query_020,0.958,86,88,92,82,80,82,81,89,86,94,86.0,4.538722287164087
query_021,0.96,98,98,98,98,98,99,98,99,98,98,98.2,0.4
query_022,0.893,99,98,99,100,99,99,99,99,99,99,99.0,0.4472135954999579
query_023,0.943,90,90,91,91,93,94,91,92,93,88,91.3,1.676305461424021
query_024,0.875,85,85,83,85,84,85,85,84,85,85,84.6,0.66332495807108
query_025,0.83,83,84,84,84,83,83,84,84,84,84,83.7,0.45825756949558394
query_026,0.793,96,96,96,96,97,96,96,96,96,96,96.1,0.30000000000000004
query_027,1.025,97,98,98,97,96,97,97,98,97,97,97.2,0.6
query_028,0.931,95,97,97,97,95,97,97,97,96,97,96.5,0.806225774829855
query_029,1.04,95,96,96,96,96,97,95,96,96,96,95.9,0.5385164807134505
query_030,0.841,74,73,76,77,76,77,77,78,77,74,75.9,1.57797338380595
query_031,0.741,36,53,10,56,20,46,57,17,56,5,35.6,19.703806738800502
query_032,0.767,80,81,79,81,81,80,81,81,77,81,80.2,1.2489995996796797
query_033,0.925,60,61,62,61,62,62,62,62,62,62,61.6,0.66332495807108
query_034,0.9,98,97,98,98,98,98,98,97,98,98,97.8,0.4
query_035,0.419,39,33,40,47,32,36,38,43,44,35,38.7,4.648655719667784
query_036,0.824,80,80,79,80,80,80,80,80,80,80,79.9,0.30000000000000004
query_037,0.748,95,80,97,97,96,99,98,98,93,97,95.0,5.253570214625479
query_038,0.895,99,98,100,98,96,99,100,99,98,98,98.5,1.118033988749895
query_039,0.835,61,66,66,68,65,65,65,69,66,63,65.4,2.1540659228538015
query_040,0.834,94,94,96,94,94,94,96,94,94,93,94.3,0.9
query_041,0.911,96,95,96,96,97,96,97,96,95,96,96.0,0.6324555320336759
query_042,0.929,95,92,91,92,88,88,92,91,88,93,91.0,2.23606797749979
query_043,0.902,97,98,97,98,99,99,97,98,98,98,97.9,0.7000000000000001
query_044,0.813,99,99,99,99,98,98,98,98,99,98,98.5,0.5
query_045,1.024,100,99,99,99,99,100,100,99,99,100,99.4,0.4898979485566356
query_046,0.993,98,98,98,99,99,98,98,98,98,98,98.2,0.4
query_047,0.951,99,99,99,99,99,99,100,99,99,99,99.1,0.30000000000000004
query_048,1.069,95,93,94,94,97,96,95,96,95,95,95.0,1.0954451150103321
query_049,0.914,88,86,86,86,86,86,87,86,86,86,86.3,0.6403124237432849
query_050,0.996,99,99,98,98,99,97,98,98,99,98,98.3,0.6403124237432849
