Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.152,89,88,88,88,88,88,88,88,88,89,88.2,0.4
query_002,0.959,81,98,75,78,77,79,79,44,43,75,72.9,15.971537183377185
query_003,1.041,68,74,74,72,69,70,80,66,73,60,70.6,5.122499389946279
query_004,0.96,70,72,73,69,88,91,78,53,85,71,75.0,10.526157893552615
query_005,0.991,86,87,88,85,88,91,90,91,93,95,89.4,3.0066592756745814
query_006,1.002,91,93,96,95,96,97,94,94,89,91,93.6,2.4576411454889016
query_007,0.995,45,83,55,81,86,82,78,45,88,89,73.2,16.767826334978544
query_008,1.198,73,73,73,98,71,73,73,72,74,72,75.2,7.639371701913713
query_009,0.853,56,54,66,74,72,50,54,56,51,72,60.5,8.958236433584458
query_010,0.989,95,93,91,97,95,95,91,97,93,86,93.3,3.163858403911275
query_011,1.02,97,98,97,95,98,96,97,96,98,97,96.9,0.9433981132056604
query_012,1.048,89,96,95,94,96,83,95,95,96,94,93.3,3.9509492530276824
query_013,0.908,91,95,94,92,96,90,94,92,91,94,92.9,1.8681541692269403
query_014,0.874,95,84,84,84,90,91,85,89,92,89,88.3,3.6891733491393435
query_015,1.022,85,82,82,84,81,84,86,85,83,86,83.8,1.661324772583615
query_016,1.339,100,100,99,100,100,100,100,100,100,100,99.9,0.30000000000000004
query_017,0.979,69,66,73,68,53,73,74,57,69,70,67.2,6.6
query_018,1.048,88,72,79,87,72,73,73,73,72,73,76.2,5.979966555090422
query_019,1.021,81,79,82,96,81,81,90,82,79,82,83.3,5.139066063011839
query_020,1.076,98,99,98,97,97,98,96,98,90,16,88.7,24.351796648296816
query_021,1.071,88,59,93,90,92,89,92,94,91,90,87.8,9.754998718605759
query_022,0.848,99,99,99,99,97,99,99,99,99,100,98.9,0.7000000000000001
query_023,1.039,94,81,91,71,92,85,91,80,92,78,85.5,7.310950690573696
query_024,1.056,88,78,86,83,85,82,66,87,80,83,81.8,6.029925372672534
query_025,0.891,63,66,68,64,73,70,69,66,66,70,67.5,2.9068883707497264
query_026,0.889,81,84,82,75,82,80,87,83,82,81,81.7,2.9
query_027,1.033,99,99,99,99,99,99,99,99,99,99,99.0,0.0
query_028,0.976,98,98,99,98,98,98,99,98,99,99,98.4,0.4898979485566356
query_029,0.998,98,98,97,98,97,97,94,96,97,98,97.0,1.1832159566199232
query_030,1.01,30,73,67,79,71,71,74,60,30,69,62.4,16.853486286225767
query_031,0.987,91,91,91,91,91,91,36,82,90,92,84.6,16.426807358704856
query_032,1.044,96,96,95,95,96,95,96,97,95,96,95.7,0.6403124237432849
