Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.152,87,88,88,88,88,89,89,90,89,90,88.6,0.9165151389911681
query_002,0.959,80,81,81,79,81,76,79,83,81,81,80.2,1.7776388834631178
query_003,1.041,66,71,67,65,62,66,66,68,72,64,66.7,2.8653097563788807
query_004,0.96,74,74,70,72,73,72,72,72,74,78,73.1,2.0223748416156684
query_005,0.991,88,83,90,89,82,79,80,86,87,88,85.2,3.7094473981982814
query_006,1.002,92,92,91,91,92,91,90,92,89,91,91.1,0.9433981132056604
query_007,0.995,68,68,68,46,44,45,46,44,43,69,54.1,11.58835622510803
query_008,1.198,73,74,73,73,73,74,73,72,72,74,73.1,0.7000000000000001
query_009,0.853,82,69,73,77,77,77,56,54,78,81,72.4,9.38296328459192
query_010,0.989,96,96,98,96,98,96,96,96,97,95,96.4,0.9165151389911681
query_011,1.02,97,98,97,98,97,97,96,98,98,97,97.3,0.6403124237432849
query_012,1.048,96,93,94,94,92,94,92,95,93,94,93.7,1.1874342087037917
query_013,0.908,95,94,96,93,94,94,95,93,92,93,93.9,1.1357816691600546
query_014,0.874,97,97,97,94,97,96,96,95,96,97,96.2,0.9797958971132711
query_015,1.022,82,79,82,82,81,81,82,85,80,80,81.4,1.5620499351813308
query_016,1.339,100,100,100,100,100,98,100,100,100,100,99.8,0.6
query_017,0.979,81,76,81,81,81,80,81,61,81,68,77.1,6.655073252789934
query_018,1.048,72,72,72,73,72,72,72,72,72,72,72.1,0.30000000000000004
query_019,1.021,84,80,54,80,80,79,61,78,79,60,73.5,10.180864403379509
query_020,1.076,95,97,95,85,96,99,98,99,96,94,95.4,3.826225293941798
query_021,1.071,94,94,94,94,94,96,91,92,95,95,93.9,1.3747727084867518
query_022,0.848,99,100,100,99,99,99,99,99,99,99,99.2,0.4
query_023,1.039,94,96,94,96,95,94,96,93,95,96,94.9,1.0440306508910548
query_024,1.056,75,72,72,77,77,88,76,77,85,78,77.7,4.859012245302536
query_025,0.891,61,55,56,58,57,58,54,56,56,57,56.8,1.8330302779823358
query_026,0.889,85,82,82,84,89,89,78,85,85,82,84.1,3.176476034853718
query_027,1.033,99,100,99,99,99,99,99,99,100,99,99.2,0.4
query_028,0.976,98,99,98,98,98,98,98,98,99,98,98.2,0.4
query_029,0.998,97,96,96,96,96,96,96,96,97,96,96.2,0.4
query_030,1.01,77,43,73,68,39,55,63,46,72,75,61.1,13.560604706280618
query_031,0.987,91,93,91,92,91,91,92,92,91,92,91.6,0.66332495807108
query_032,1.044,95,95,95,96,96,94,96,95,96,96,95.4,0.66332495807108
query_033,1.148,87,88,87,90,90,91,89,85,89,88,88.4,1.6852299546352716
query_034,0.952,87,86,85,88,86,88,91,92,87,90,88.0,2.1908902300206643
query_035,0.501,79,78,78,81,79,76,77,78,77,78,78.1,1.3
query_036,0.933,89,92,91,90,89,91,92,90,88,90,90.2,1.2489995996796797
query_037,0.862,86,86,87,86,86,85,87,86,86,86,86.1,0.5385164807134505
query_038,0.935,88,11,88,9,88,9,10,9,88,88,48.8,39.20408142017869
query_039,0.888,90,90,86,90,91,90,87,91,86,91,89.2,1.9390719429665315
query_040,0.938,98,99,99,99,97,97,99,96,98,97,97.9,1.0440306508910548
query_041,1.314,99,99,99,99,99,99,100,99,99,99,99.1,0.30000000000000004
query_042,0.994,99,99,100,99,98,99,99,99,98,99,98.9,0.5385164807134505
query_043,1.037,97,98,98,98,98,98,98,98,99,98,98.0,0.4472135954999579
query_044,0.896,73,70,76,81,73,71,73,73,73,75,73.8,2.891366458960192
query_045,1.116,93,93,94,94,91,94,94,92,92,93,93.0,1.0
query_046,1.188,94,91,94,93,92,93,91,93,91,92,92.4,1.1135528725660042
query_047,1.024,95,94,95,95,95,94,94,95,95,95,94.7,0.45825756949558394
query_048,1.027,97,98,99,97,97,97,98,97,88,98,96.6,2.9393876913398143
query_049,0.985,66,66,66,66,68,66,65,67,66,66,66.2,0.7483314773547881
query_050,1.007,79,79,79,79,78,79,79,79,79,79,78.9,0.30000000000000004
query_051,1.017,100,100,100,100,99,100,100,95,100,100,99.4,1.4966629547095762
query_052,1.019,53,72,71,49,68,68,50,61,57,51,60.0,8.683317338436964
query_053,0.91,80,80,87,78,86,81,79,87,74,82,81.4,4.004996878900157
query_054,1.243,99,99,98,98,98,99,98,100,99,99,98.7,0.6403124237432849
query_055,1.08,94,94,95,95,94,94,96,94,94,96,94.6,0.8
query_056,0.927,99,99,99,99,99,99,99,99,99,99,99.0,0.0
query_057,0.914,97,98,98,98,98,98,97,94,98,97,97.3,1.1874342087037917
query_058,0.896,96,96,95,96,97,97,96,96,98,97,96.4,0.8
query_059,1.25,99,99,100,99,99,100,100,100,99,99,99.4,0.4898979485566356
query_060,0.972,98,98,98,99,96,99,98,98,99,98,98.1,0.8306623862918076
query_061,1.025,99,100,99,100,99,99,99,99,99,99,99.2,0.4
query_062,1.052,98,97,98,99,97,98,98,99,99,98,98.1,0.7000000000000001
query_063,1.012,99,100,100,100,100,100,100,99,100,99,99.7,0.45825756949558405
query_064,1.0,38,38,38,58,38,38,38,38,55,37,41.6,7.4859869088851605
query_065,1.099,99,98,86,98,98,98,87,99,98,33,89.4,19.371112513224425
query_066,1.124,9,87,87,7,9,88,87,88,88,88,63.8,36.31748889997765
query_067,1.036,97,98,96,94,97,98,98,98,98,98,97.2,1.2489995996796797
query_068,1.078,78,78,78,78,77,79,79,78,77,78,78.0,0.6324555320336759
query_069,1.038,81,82,79,80,79,80,80,41,78,78,75.8,11.660188677718727
query_070,1.117,98,98,99,99,98,98,99,100,99,99,98.7,0.6403124237432849
query_071,0.962,98,97,98,98,98,99,97,98,96,99,97.8,0.8717797887081347
