Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.141,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_002,0.87,80,82,80,82,82,81,82,83,81,84,81.7,1.1874342087037917
query_003,1.025,100,99,99,99,99,99,99,99,99,99,99.1,0.30000000000000004
query_004,1.31,97,95,93,93,93,95,94,94,92,94,94.0,1.3416407864998738
query_005,0.985,81,77,70,75,91,72,70,85,89,85,79.5,7.406078584514209
query_006,1.108,96,96,96,96,96,96,97,96,96,96,96.1,0.30000000000000004
query_007,1.191,90,91,90,91,91,92,92,90,90,90,90.7,0.7810249675906654
query_008,1.125,99,98,98,97,95,98,99,93,98,99,97.4,1.8547236990991407
query_009,0.871,76,85,74,74,77,77,77,76,77,77,77.0,2.898275349237888
query_010,0.902,70,70,29,29,29,70,28,71,70,71,53.7,20.376702382868526
query_011,1.141,66,66,34,66,66,34,89,66,33,66,58.6,17.658992043715294
query_012,0.939,91,89,91,94,91,88,93,89,90,88,90.4,1.9078784028338913
query_013,0.796,92,95,96,96,96,95,96,97,96,95,95.4,1.2806248474865698
query_014,0.913,97,97,98,97,97,97,97,97,98,97,97.2,0.4
query_015,1.068,91,94,83,87,86,93,80,91,87,87,87.9,4.182104733265296
query_016,1.308,87,87,87,87,88,87,87,87,87,87,87.1,0.30000000000000004
query_017,0.881,70,71,70,24,25,71,25,70,71,25,52.2,22.417850030723283
query_018,1.025,100,98,100,98,98,99,99,98,98,98,98.6,0.8
query_019,0.944,80,82,86,73,84,87,80,88,78,80,81.8,4.354308211415448
query_020,1.152,87,87,85,86,86,85,98,87,86,87,87.4,3.6110940170535577
query_021,0.965,66,72,67,72,68,71,71,69,72,72,70.0,2.1908902300206643
query_022,1.158,99,99,99,99,99,99,99,99,99,99,99.0,0.0
query_023,1.049,93,91,96,96,81,93,96,87,96,90,91.9,4.657252408878008
query_024,0.938,98,97,99,63,98,46,99,97,97,98,89.2,17.77526371112395
query_025,0.851,76,86,78,79,81,74,86,76,84,78,79.8,4.06939798987516
query_026,0.823,96,95,93,97,96,94,94,96,95,95,95.1,1.1357816691600546
query_027,1.11,56,80,65,62,87,81,64,66,66,62,68.9,9.565040512198577
query_028,0.976,49,50,49,50,49,50,49,50,46,50,49.2,1.16619037896906
query_029,1.144,100,100,99,100,100,99,99,99,100,100,99.6,0.4898979485566356
query_030,0.92,98,96,95,98,95,95,97,91,94,96,95.5,1.9621416870348585
query_031,0.821,76,74,75,72,71,76,75,76,77,74,74.6,1.8
query_032,0.883,97,97,87,99,100,96,95,97,97,89,95.4,3.954743986657038
query_033,0.997,94,94,95,96,95,96,93,94,95,95,94.7,0.9
query_034,0.986,75,74,78,77,85,75,77,87,70,73,77.1,4.968903299521938
query_035,0.436,97,96,96,96,97,95,94,97,96,96,96.0,0.8944271909999159
query_036,0.928,87,91,91,87,91,86,90,89,92,88,89.2,1.9899748742132397
query_037,0.742,74,71,70,72,54,69,74,75,70,72,70.1,5.682429058070149
query_038,0.831,84,89,85,84,88,93,84,87,86,87,86.7,2.6851443164195103
query_039,0.889,63,79,63,66,65,65,68,64,63,64,66.0,4.58257569495584
query_040,0.836,57,60,42,46,64,57,66,44,51,49,53.6,7.989993742175272
query_041,1.111,98,94,85,97,88,97,92,97,98,98,94.4,4.409081537009721
query_042,1.008,96,94,59,88,96,94,93,96,93,92,90.1,10.6155546251715
query_043,1.053,58,70,58,58,42,42,70,58,43,58,55.7,9.859513172565876
query_044,0.833,80,19,79,81,17,89,81,81,19,80,62.6,29.10051545935226
query_045,1.074,71,24,72,71,24,69,71,69,70,71,61.2,18.62149295840696
query_046,1.138,81,89,88,87,83,85,82,95,91,80,86.1,4.548626166217663
query_047,0.98,66,72,68,64,66,63,64,63,65,64,65.5,2.6172504656604803
query_048,1.189,99,98,98,99,99,99,98,99,98,98,98.5,0.5
query_049,1.025,94,92,95,92,95,91,91,91,97,93,93.1,1.972308292331602
query_050,1.033,91,91,91,92,95,91,92,92,93,91,91.9,1.2206555615733703
query_051,0.978,54,52,53,73,51,54,53,52,53,55,55.0,6.099180272790763
query_052,0.992,77,80,77,87,83,81,82,83,75,88,81.3,4.026164427839479
query_053,1.014,86,83,87,84,83,84,85,76,84,85,83.7,2.8301943396169813
query_054,1.191,93,93,93,94,96,93,93,93,93,96,93.7,1.1874342087037917
query_055,1.087,77,67,62,67,64,68,66,58,68,62,65.9,4.805205510693585
query_056,0.752,77,77,84,76,75,77,77,77,77,21,71.8,17.08683703907777
query_057,0.776,77,98,94,77,76,77,77,97,97,81,85.1,9.438749917229506
query_058,0.751,96,96,96,96,96,96,96,96,96,95,95.9,0.3
query_059,1.123,83,80,83,83,82,35,83,83,83,26,72.1,20.91626161626403
query_060,1.25,98,100,99,99,100,95,99,99,98,99,98.6,1.3564659966250536
query_061,1.224,89,99,97,99,86,98,99,99,97,90,95.3,4.712748667179271
query_062,0.93,94,94,94,93,94,94,94,94,94,94,93.9,0.30000000000000004
query_063,1.046,84,15,84,83,84,85,83,83,91,85,77.7,21.01927686672403
query_064,0.875,83,83,82,82,84,84,87,83,83,83,83.4,1.3564659966250536
query_065,0.983,90,95,91,90,95,92,94,95,85,95,92.2,3.124099870362662
query_066,1.196,100,100,99,100,100,99,99,99,99,99,99.4,0.4898979485566356
query_067,0.927,98,92,97,89,88,88,97,96,93,85,92.3,4.382921400162226
query_068,1.111,91,92,97,98,98,95,98,97,98,96,96.0,2.449489742783178
query_069,1.225,61,65,56,67,67,40,56,53,57,66,58.8,7.972452571197899
query_070,1.266,100,99,99,99,99,99,100,99,99,99,99.2,0.4
query_071,1.299,97,97,96,97,96,97,96,96,99,96,96.7,0.9
query_072,1.023,99,99,88,99,67,67,67,99,98,81,86.4,13.893883546366725
query_073,1.056,77,93,77,77,77,77,77,77,84,78,79.4,4.983974317750844
query_074,1.127,62,63,62,65,61,65,63,65,78,72,65.6,5.0635955604688645
query_075,1.019,97,97,95,97,96,97,96,95,97,96,96.3,0.7810249675906654
query_076,0.947,79,75,76,54,38,43,53,84,46,68,61.6,15.844241856270688
query_077,0.965,79,77,81,79,80,80,81,80,81,83,80.1,1.5132745950421556
query_078,0.841,85,90,89,88,95,81,92,87,88,91,88.6,3.6660605559646715
query_079,0.828,31,80,84,85,83,86,87,76,17,83,71.2,23.990831582085686
query_080,0.772,77,72,78,79,69,82,72,76,76,72,75.3,3.7696153649941526
query_081,1.026,95,95,93,93,93,94,95,92,96,98,94.4,1.6852299546352716
query_082,1.201,94,94,94,94,94,97,94,94,94,94,94.3,0.9
query_083,0.979,98,98,98,99,98,99,98,99,98,98,98.3,0.45825756949558394
query_084,0.825,75,75,78,78,74,81,80,83,73,70,76.7,3.7960505792204615
query_085,1.222,93,94,92,91,91,97,92,91,91,91,92.3,1.8466185312619388
query_086,0.912,96,97,92,95,95,94,94,96,96,94,94.9,1.374772708486752
query_087,0.859,79,80,87,79,81,81,85,77,82,78,80.9,2.947880594596735
query_088,1.146,98,80,80,80,80,83,81,81,94,97,85.4,7.269112738154499
query_089,0.745,77,76,75,71,87,78,76,78,79,84,78.1,4.3
query_090,1.115,79,98,86,99,74,73,75,89,59,88,82.0,11.738824472663351
query_091,0.814,69,84,77,59,83,76,57,72,60,88,72.5,10.519030373565807
query_092,0.963,76,66,52,53,48,78,51,80,86,79,66.9,13.837991183694257
