Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.141,100,100,100,100,100,98,100,100,100,100,99.8,0.6
query_002,0.87,84,84,84,85,84,86,83,81,87,84,84.2,1.5362291495737217
query_003,1.025,92,94,92,95,95,94,23,94,95,95,86.9,21.328150412072773
query_004,1.31,95,96,96,95,95,95,96,95,94,95,95.2,0.6
query_005,0.985,77,74,77,81,81,80,79,79,79,79,78.6,2.009975124224178
query_006,1.108,96,96,97,97,96,96,96,96,96,97,96.3,0.45825756949558405
query_007,1.191,91,90,90,91,91,91,91,91,91,91,90.8,0.4
query_008,1.125,98,98,98,97,98,98,98,98,98,98,97.9,0.30000000000000004
query_009,0.871,76,77,77,77,77,75,77,77,77,76,76.6,0.66332495807108
query_010,0.902,29,29,29,29,29,71,71,28,29,29,37.3,16.852596239155556
query_011,1.141,65,34,34,33,35,65,66,68,34,34,46.8,15.702229141112419
query_012,0.939,91,90,91,91,91,91,91,91,91,91,90.9,0.30000000000000004
query_013,0.796,96,96,96,96,95,96,94,96,96,94,95.5,0.806225774829855
query_014,0.913,98,99,98,98,98,97,97,98,98,98,97.9,0.5385164807134505
query_015,1.068,90,93,94,94,93,90,89,90,92,90,91.5,1.8027756377319946
query_016,1.308,87,87,87,87,88,93,88,87,92,87,88.3,2.147091055358389
query_017,0.881,25,24,70,71,71,71,27,70,66,70,56.5,20.460938394902616
query_018,1.025,98,99,98,99,98,99,99,98,99,99,98.6,0.4898979485566356
query_019,0.944,75,81,78,80,81,79,78,83,82,78,79.5,2.247220505424423
query_020,1.152,86,86,86,86,86,86,86,86,86,86,86.0,0.0
query_021,0.965,65,65,69,68,65,67,65,68,66,66,66.4,1.42828568570857
query_022,1.158,100,98,99,99,99,99,99,99,99,99,99.0,0.4472135954999579
query_023,1.049,93,88,86,88,88,89,88,90,85,80,87.5,3.2326459750489227
query_024,0.938,69,58,71,59,70,75,59,77,72,57,66.7,7.2532751223154355
query_025,0.851,80,86,87,85,80,83,84,82,88,87,84.2,2.749545416973504
query_026,0.823,97,97,96,96,95,97,96,96,95,96,96.1,0.7000000000000001
query_027,1.11,65,58,60,63,66,63,61,62,65,60,62.3,2.4515301344262523
query_028,0.976,49,49,49,48,49,49,48,49,49,49,48.8,0.4
query_029,1.144,99,100,99,99,99,99,100,99,100,99,99.3,0.45825756949558394
query_030,0.92,97,95,98,97,97,98,97,97,97,97,97.0,0.7745966692414834
query_031,0.821,70,75,71,73,71,73,71,72,73,72,72.1,1.374772708486752
query_032,0.883,73,73,73,72,72,73,73,73,73,73,72.8,0.4
query_033,0.997,93,81,91,94,94,93,94,93,93,93,91.9,3.726929030716845
query_034,0.986,15,78,77,77,77,79,15,15,77,76,58.6,28.552407954496587
query_035,0.436,94,95,92,95,95,92,92,93,95,92,93.5,1.3601470508735443
query_036,0.928,91,86,92,85,81,84,90,90,72,74,84.5,6.637017402418047
query_037,0.742,68,66,64,68,66,69,64,67,73,67,67.2,2.481934729198171
query_038,0.831,94,92,94,90,90,91,91,93,91,93,91.9,1.445683229480096
query_039,0.889,63,63,64,63,66,62,63,63,64,65,63.6,1.1135528725660044
query_040,0.836,52,45,52,55,49,51,48,52,40,55,49.9,4.3920382511995495
query_041,1.111,95,95,83,89,81,85,97,90,86,95,89.6,5.425863986500215
query_042,1.008,84,82,93,90,85,80,78,93,75,86,84.6,5.800000000000001
query_043,1.053,56,55,57,56,58,56,42,55,42,56,53.3,5.710516614107694
query_044,0.833,81,81,81,19,81,81,81,81,81,81,74.8,18.6
query_045,1.074,63,68,61,66,63,64,64,63,62,65,63.9,1.9209372712298547
query_046,1.138,89,85,86,85,86,86,95,87,96,86,88.1,3.858756276314947
query_047,0.98,69,88,78,64,63,64,63,72,64,72,69.7,7.759510293826537
query_048,1.189,98,97,98,99,98,99,99,98,98,97,98.1,0.7000000000000001
query_049,1.025,70,37,37,37,37,37,37,37,70,41,44.0,13.053735097664577
query_050,1.033,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_051,0.978,31,55,36,56,59,34,57,34,55,56,47.3,11.171839597846006
query_052,0.992,94,85,84,86,84,80,90,85,86,82,85.6,3.746998799039039
query_053,1.014,85,87,87,87,86,87,83,86,86,86,86.0,1.1832159566199232
query_054,1.191,93,93,93,93,93,93,93,93,92,93,92.9,0.30000000000000004
query_055,1.087,57,60,60,62,60,58,61,60,60,60,59.8,1.32664991614216
