Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.961,74,69,68,67,73,75,69,70,76,72,71.3,2.968164415931166
query_002,0.887,89,86,87,86,87,84,87,89,82,67,84.4,6.135144660071187
query_003,0.967,99,97,99,97,96,96,97,97,97,94,96.9,1.374772708486752
query_004,1.012,77,81,52,76,84,62,62,84,83,56,71.7,11.773274820541648
query_005,0.865,71,75,78,73,70,70,75,74,73,74,73.3,2.368543856465402
query_006,1.012,95,90,90,91,91,90,92,91,90,95,91.5,1.857417562100671
query_007,1.037,62,64,63,63,63,61,62,65,64,64,63.1,1.1357816691600546
query_008,0.94,94,88,95,62,93,92,95,65,95,92,87.1,11.9870763741623
query_009,0.854,98,99,98,99,99,98,98,99,99,98,98.5,0.5
query_010,0.792,88,86,85,84,84,83,85,83,83,84,84.5,1.5
query_011,0.948,95,97,94,97,94,86,94,94,94,95,94.0,2.898275349237888
query_012,0.96,99,100,98,99,99,98,98,98,99,98,98.6,0.66332495807108
query_013,0.785,72,86,87,58,73,89,85,82,72,74,77.8,9.184770002564026
query_014,0.826,62,62,62,62,51,62,62,63,61,62,60.9,3.330165161069343
query_015,1.091,92,93,92,92,87,95,89,95,87,95,91.7,2.934280150224242
query_016,0.985,96,95,99,98,98,97,93,85,97,97,95.5,3.8535697735995385
query_017,0.904,76,71,73,74,78,76,76,76,74,85,75.9,3.5623026261113755
query_018,0.888,80,71,72,73,91,70,71,72,71,71,74.2,6.20966987850401
query_019,0.922,67,67,71,66,69,76,63,68,66,52,66.5,5.852349955359813
query_020,1.006,82,85,89,83,83,83,82,83,80,86,83.6,2.3748684174075834
query_021,0.967,68,83,68,83,85,69,69,70,68,88,75.1,8.005623023850173
query_022,0.927,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_023,1.028,81,84,83,87,84,85,83,87,84,88,84.6,2.0591260281974
query_024,0.894,99,100,100,99,100,99,100,99,100,100,99.6,0.4898979485566356
query_025,0.802,77,76,86,81,72,73,82,71,77,76,77.1,4.482186966202994
query_026,0.84,87,92,82,86,76,86,87,82,76,74,82.8,5.582114294781145
query_027,0.988,97,96,99,100,98,99,85,99,99,100,97.2,4.237924020083418
query_028,0.924,92,92,92,93,93,94,93,95,94,92,93.0,1.0
query_029,1.016,95,99,98,99,98,79,98,97,94,99,95.6,5.76541412215983
query_030,0.929,74,26,32,64,73,33,69,24,21,54,47.0,20.721969018411354
query_031,0.777,46,66,56,47,46,49,40,46,47,43,48.6,6.988562083862459
query_032,0.801,93,92,90,93,92,93,54,93,93,93,88.6,11.568923891183658
query_033,0.951,25,23,59,63,57,21,61,60,62,22,45.3,18.498918887329605
query_034,1.007,95,96,98,95,96,95,96,97,96,96,96.0,0.8944271909999159
query_035,0.391,49,51,38,38,56,48,47,39,44,45,45.5,5.643580423808985
query_036,0.886,86,82,80,78,77,78,79,81,77,80,79.8,2.6
query_037,0.791,95,95,95,95,98,95,95,95,95,95,95.3,0.9
query_038,0.853,72,54,62,59,54,65,64,60,66,60,61.6,5.219195340279955
query_039,0.856,77,77,72,76,70,74,75,74,74,71,74.0,2.280350850198276
query_040,0.828,88,90,89,89,89,89,88,89,89,89,88.9,0.5385164807134505
