Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,0.961,71,70,82,71,72,72,81,72,70,71,73.2,4.214261501141095
query_002,0.887,66,61,67,64,64,65,60,60,72,64,64.3,3.4365680554879168
query_003,0.967,97,96,97,97,97,97,97,97,97,97,96.9,0.30000000000000004
query_004,1.012,46,45,44,47,45,45,45,43,46,30,43.6,4.651881339845203
query_005,0.865,83,13,79,12,59,78,70,75,77,76,62.2,25.592186307543166
query_006,1.012,90,88,88,90,89,89,90,88,89,90,89.1,0.8306623862918076
query_007,1.037,46,48,53,52,51,51,45,50,52,52,50.0,2.6076809620810595
query_008,0.94,82,86,67,67,69,68,67,68,67,94,73.5,9.478923989567592
query_009,0.854,4,99,99,99,0,98,0,99,98,0,59.6,47.86063100294437
query_010,0.792,89,88,89,89,89,90,89,96,89,98,90.6,3.261901286060018
query_011,0.948,80,86,86,85,89,80,79,86,80,87,83.8,3.458323293158117
query_012,0.96,98,98,99,98,99,98,99,98,98,99,98.4,0.4898979485566356
query_013,0.785,78,85,78,76,78,73,75,68,80,72,76.3,4.450842616853578
query_014,0.826,59,62,59,60,60,56,61,61,62,39,57.9,6.518435395092905
query_015,1.091,93,94,92,93,86,89,92,92,78,94,90.3,4.712748667179271
query_016,0.985,89,85,86,86,86,88,87,88,85,86,86.6,1.2806248474865698
query_017,0.904,74,77,76,78,74,74,77,75,76,75,75.6,1.3564659966250536
query_018,0.888,76,78,78,77,77,77,77,77,78,77,77.2,0.6
query_019,0.922,9,63,10,7,6,2,41,8,62,8,21.6,22.861321046693696
query_020,1.006,33,37,32,31,38,34,33,34,36,32,34.0,2.1908902300206643
query_021,0.967,79,80,80,82,80,79,76,81,77,78,79.2,1.7204650534085253
query_022,0.927,99,100,99,100,100,100,100,100,100,100,99.8,0.4
query_023,1.028,83,79,82,81,90,80,80,83,82,79,81.9,3.047950130825634
query_024,0.894,100,100,100,99,100,100,100,100,100,100,99.9,0.30000000000000004
query_025,0.802,73,72,76,75,78,75,75,77,76,76,75.3,1.676305461424021
query_026,0.84,44,45,57,43,52,49,57,47,54,54,50.2,5.035871324805668
query_027,0.988,99,99,98,99,99,99,99,99,98,98,98.7,0.45825756949558405
query_028,0.924,94,94,94,94,94,94,94,93,94,94,93.9,0.30000000000000004
query_029,1.016,71,87,69,58,70,58,88,74,69,69,71.3,9.508417323613852
query_030,0.929,58,79,75,71,26,63,80,78,77,24,63.1,20.221028658305194
query_031,0.777,36,33,34,36,37,36,39,33,36,52,37.2,5.230678732248808
query_032,0.801,91,93,88,93,92,93,93,92,92,93,92.0,1.4832396974191326
query_033,0.951,58,21,61,28,34,22,21,58,21,21,34.5,16.536323654307203
query_034,1.007,63,57,60,62,59,61,61,56,55,62,59.6,2.6153393661244038
query_035,0.391,36,43,35,37,34,36,35,47,35,40,37.8,4.019950248448356
query_036,0.886,72,63,26,56,62,75,61,62,61,67,60.5,12.674778104566565
query_037,0.791,95,95,95,95,95,95,95,95,95,95,95.0,0.0
query_038,0.853,38,28,30,31,32,29,28,36,32,26,31.0,3.521363372331802
query_039,0.856,78,79,79,77,78,78,75,78,75,76,77.3,1.4177446878757824
query_040,0.828,89,91,90,93,89,90,90,90,90,89,90.1,1.1357816691600546
query_041,0.887,84,97,92,91,94,88,88,95,94,95,91.8,3.841874542459709
query_042,0.979,96,95,94,96,96,90,92,94,98,95,94.6,2.1540659228538015
query_043,0.89,84,82,84,86,84,87,86,87,83,83,84.6,1.6852299546352716
query_044,0.808,86,86,86,86,86,86,86,89,88,86,86.5,1.02469507659596
query_045,1.066,96,54,96,98,96,97,97,97,96,97,92.4,12.815615474880635
query_046,1.064,90,91,90,91,91,90,90,89,91,91,90.4,0.66332495807108
query_047,0.902,63,64,64,66,66,6,6,62,6,63,46.6,26.605262637305426
query_048,1.092,93,88,91,94,89,94,87,93,91,88,90.8,2.521904042583698
query_049,1.005,58,41,58,43,41,58,41,39,42,41,46.2,7.782030583337487
query_050,1.131,97,97,96,97,97,97,96,96,96,98,96.7,0.6403124237432849
query_051,0.934,48,47,42,43,45,43,47,40,45,47,44.7,2.491987158875422
query_052,1.003,83,85,85,85,84,85,86,86,85,84,84.8,0.8717797887081347
query_053,1.018,91,79,89,90,88,88,86,88,88,91,87.8,3.2802438933713454
query_054,1.016,54,55,53,55,55,53,55,53,54,54,54.1,0.8306623862918076
query_055,1.031,100,100,99,100,100,100,100,100,100,100,99.9,0.30000000000000004
query_056,0.725,5,6,73,5,5,5,5,6,15,5,13.0,20.21385663350762
query_057,0.678,71,73,78,68,72,73,72,69,76,75,72.7,2.9000000000000004
query_058,0.692,75,75,76,75,75,75,74,74,76,75,75.0,0.6324555320336759
query_059,0.933,77,84,19,74,12,20,76,50,74,19,50.5,28.242698171385822
query_060,1.017,96,97,97,97,97,95,97,97,97,96,96.6,0.66332495807108
query_061,1.054,93,95,94,95,94,93,95,94,93,95,94.1,0.8306623862918076
query_062,0.755,93,94,93,93,93,98,94,94,93,92,93.7,1.5524174696260025
query_063,0.923,57,58,55,56,57,55,55,41,59,57,55.0,4.8373546489791295
query_064,0.87,13,13,13,12,68,70,13,69,70,15,35.6,27.488906853492736
query_065,0.933,31,33,53,32,31,31,32,31,52,55,38.1,10.014489502715552
query_066,1.027,88,81,89,87,88,84,87,89,89,88,87.0,2.449489742783178
query_067,0.849,23,23,24,68,34,24,23,66,23,23,33.1,17.25369525637914
query_068,1.04,98,98,98,99,97,99,97,97,98,97,97.8,0.7483314773547882
query_069,1.129,66,64,65,64,67,60,61,65,67,67,64.6,2.33238075793812
query_070,1.023,86,86,86,86,86,86,86,86,86,86,86.0,0.0
query_071,1.031,99,99,99,99,99,99,100,99,99,99,99.1,0.30000000000000004
query_072,0.862,72,71,87,73,74,70,80,72,76,70,74.5,5.06458290484024
query_073,1.063,92,91,92,91,90,92,93,91,92,90,91.4,0.9165151389911681
query_074,1.151,97,97,97,98,99,97,97,97,97,97,97.3,0.6403124237432849
query_075,0.895,99,100,98,100,99,99,100,99,99,99,99.2,0.6
query_076,0.943,98,98,97,97,98,97,97,98,97,96,97.3,0.6403124237432849
query_077,0.916,18,13,18,15,20,13,14,14,16,21,16.2,2.749545416973504
query_078,0.779,16,13,19,32,18,28,13,33,14,15,20.1,7.462573282722254
query_079,0.774,35,38,37,38,38,41,35,47,43,38,39.0,3.521363372331802
query_080,0.731,69,78,76,70,73,75,77,77,71,72,73.8,3.0594117081556713
query_081,1.028,99,99,99,98,99,99,99,98,99,99,98.8,0.4
query_082,0.91,97,97,99,97,97,98,97,97,98,98,97.5,0.6708203932499369
query_083,0.912,49,49,49,53,50,56,48,55,54,51,51.4,2.727636339397171
query_084,0.801,93,93,62,77,89,91,73,85,94,74,83.1,10.406248123122953
query_085,1.109,95,95,93,95,94,93,92,93,92,94,93.6,1.1135528725660042
query_086,0.874,60,60,67,59,55,61,65,57,62,59,60.5,3.3541019662496847
query_087,0.847,49,49,49,55,56,50,49,50,49,48,50.4,2.615339366124404
query_088,1.079,56,79,82,57,91,69,97,53,62,68,71.4,14.485855169785454
